Name,Value(The authors cited by this author and the number of citations)
Sudipta Roy,"{'OD Trier': 1, 'Mehmet Sezgin': 2, 'SJ Perantonis': 1, 'LO Binarization': 1, 'Ravindra Hegadi': 1, 'Prof ASBhide': 1, 'Ke Zhang': 1, 'Suzie ElSaden': 1, 'Li Junli': 1, 'SL Hartmann': 1, 'Yi Yang': 1, 'Anam Mustaqeem': 1, 'Aalo Bistritz': 1, 'Yuri Boykov': 1, 'Sudipta Roy': 1, 'Zhuowen Tu': 1, 'Nicholas Ayache': 1, 'Allen Tannenbaum': 1, 'Habib Zaidi': 1, 'Ali Javed': 1, 'MMohammed Sathik': 1, 'Eitan Sharon': 1, 'Kingshuk Chatterjee': 1, 'TSelva Rani': 1, 'Yongyue Zhang': 1, 'Zheru Chi': 1, 'Henry Rusinek': 1, 'MCJobin Christ': 1, 'Lu Dongming': 1, 'Bach Cuadra': 1, 'Olga Veksler': 1, 'Mohammad Shokouhifar': 1, 'Benoit Macq': 1, 'Joshua Cates': 1, 'DL Pham': 1, 'SH Ong': 1, 'Xiaobing LI': 1, 'Morel JM': 1, 'Yue Zhou': 1, 'Siddhartha Bhattacharyya': 1, 'Hrvoje Kalini': 1, 'AmirEhsan Lashkari': 1, 'Arno Mundt': 1, 'Ghazanfar Latif': 1, 'Tolias YA': 1, 'SPIE Press': 1, 'Stuart Geman': 1, 'Ramsey AlHakim': 1, 'Galen Gisler': 1, 'Silbiger MS': 1, 'Gul Moonis': 1, 'Bo Wang': 1, 'Stephen Smith': 1, 'Yan Li': 1, 'Weiguo Fan': 1, 'Gregoire Malandain': 1, 'CY Kao': 1, 'PierreFrancois DHaese': 1, 'Praveen Pathak': 1, 'Pohlman KA': 1, 'Kazuhito Sato': 1, 'Chen SC': 1, 'Marcel Prastawa': 1, 'Ming Luo': 1, 'NR Pal': 1, 'Velthuizen RP': 1, 'Sethia JA': 1, 'Mark Schmidt': 1, 'PWT Krooshof': 1, 'Images Enhancement': 1, 'Steven Brem': 1, 'AX Falcao': 1, 'CW Shu': 1, 'Alexander Aplas': 1, 'Sens Donald': 1, 'SZulaikha Beevi': 1, 'Bhuvaneswari Sivakumar': 1, 'Jinhai Cai': 1, 'GJ Postma': 1, 'Mazani Manaf': 1, 'Michael Wels': 1, 'Alan Yuille': 1, 'Christine Graffingne': 1, 'Milan Sonkay': 1, 'Panas SM': 1, 'PierreYves Bondiau': 1, 'Toshimitsu Otani': 1, 'Wei Ping': 1, 'Ying Wu': 1, 'Atsushi Inugami': 1, 'DrKPrasada Rao': 1, 'Sakura Kadowaki': 1, 'Arthur Toga': 1, 'SK Pal': 1, 'Michael Brady': 1, 'Mohamed ABID': 1, 'James Fallon': 1, 'Dibyendu Ghoshal': 1, 'Vemuri BC': 1, 'Elizabeth Bullitt': 1, 'SubgJea KO': 1, 'Maria Zarifi': 1, 'Joachim Hornegger': 1, 'James Theiler': 1, 'AgnEs Desolneux': 1, 'Xavier Pennec': 1, 'Florian Steinke': 1, 'Arpana Kop': 1, 'Chunming Li': 1, 'Zhou Wang': 1, 'JeanMichel Morel': 1, 'Achi Brandt': 1, 'Daryoush Mortazavi': 1, 'Shaojun Wang': 1, 'Jayasanka Piyaratna': 1, 'PAV Miranda': 1, 'Ramin Zabih': 1, 'Ravi Bansal': 1, 'Gustavo Carneiro': 1, 'Ana Stelea': 1, 'Usha Sinha': 1, 'Bensaid AM': 1, 'Josep Llad¨®s': 1, 'Powell NA': 1, 'Qiong Liu': 1, 'Youping Deng': 1, 'YuFei Ma': 1, 'Suhuai Luo': 1, 'Undrill PE': 1, 'Navdeep Kumar': 1, 'KH Lee': 1, 'Jorge Gaviria': 1, 'YV Venkatesh': 1, 'Volker Blanz': 1, 'Qi Songz': 1, 'Jie Yang': 1, 'Bernhard Sch?lkopf': 1, 'Shraddha Dhande': 1, 'Siddheswar Ray': 1, 'Highpass Filter': 1, 'Watershed Methods': 1, 'Luc Vincent': 1, 'Suman Tatiraju': 1, 'Tehseen Fatima': 1, 'Jianguo Liu': 1, 'SK Satpathy': 1, 'Chanyang Xu': 1, 'Aakant Tauraniz': 1, 'Xiaodong Wuy': 1, 'Russell Greiner': 1, 'Radu Stefanescu': 1, 'Ilya Levner': 1, 'Stan Miklavcic': 1, 'Ying Zhuge': 1, 'Sugandha Arora': 1, 'Dongfeng Hany': 1, 'Martin Huber': 1, 'AJ Idema': 1, 'Robert Kozma': 1, 'Matt Clark': 1, 'ChengYi Liu': 1, 'Ross Frick': 1, 'Loukas Astrakas': 1, 'Padraig Cunningham': 1, 'Alper PAHS': 1, 'Viswanath Devanarayan': 1, 'Joerg Sander': 1, 'HongJiang Zhang': 1, 'ChiHoon Lee': 1, 'Zhang DQ': 1, 'Umapada Pal': 1, 'Mallikarjun Hangarge': 1, 'John Buattiy': 1, 'Aaron Lefohn': 1, 'Chenyang Xu': 1, 'Brain Tumor': 1, 'Guido Gerig': 1, 'Albert Murtha': 1, 'ChungWa Ho': 1, 'Andrei Irimia': 1, 'Dmitry Goldgof': 1, 'David Zhang': 1, 'MO Beger': 1, 'Linglin Xie': 1, 'Buckley DL': 1, 'Clarke LP': 1, 'Dorin Comaniciu': 1, 'Sonia Juneja': 1, 'WA SPIE': 1, 'Kazuhito SATO': 1, 'Lionel Moisan': 1, 'SPitchumani Angayarkanni': 1, 'Larry Hall': 1, 'Priyanka Patil': 1, 'Olivier Commowick': 1, 'Sean Ho': 1, 'LMC Buydens': 1, 'Atiq Islama': 1, 'Hall LO': 1, 'Nac¨¦ra BENAMRANE': 1, 'John Melonakos': 1, 'BM Dawant': 1, 'Bulent Sankur': 1, 'Chunliang Wang': 1, 'Khan Iftekharuddin': 1, 'Harris Wu': 1, 'John Bayouthy': 1, 'Garima Garg': 1, 'Shishir Dube': 1, 'Rajasvaran Logeswaran': 1, 'Enior Member': 1, 'Robert Vethuizen': 1, 'Ahmed KHARRAT': 1, 'Ayan Dey': 1, 'Abbes Amira': 1, 'Shafaf Ibrahim': 1, 'Changfeng Gui': 1, 'NC Yeo': 1, 'Leonardo Bottaci': 1, 'Hamid SoltanianZadeh': 1, 'Lions PL': 1, 'Valerie Duay': 1, 'Haralick RM': 1, 'Hirokazu Madokoro': 1, 'Avi Mehta': 1, 'Yuanjie Zheng': 1, 'Ross Whitaker': 1, 'Chen Gang': 1, 'Aria Tzika': 1, 'Jander Moreira': 1, 'Yong Hoon': 1}"
Imocha Singh,"{'OD Trier': 1, 'Mehmet Sezgin': 1, 'SJ Perantonis': 1, 'LO Binarization': 1}"
Tejmani Sinam,"{'OD Trier': 1, 'Mehmet Sezgin': 1, 'SJ Perantonis': 1, 'LO Binarization': 1}"
Manglem Singh,"{'OD Trier': 1, 'Mehmet Sezgin': 1, 'SJ Perantonis': 1, 'LO Binarization': 1}"
ALEXANDRA SILVA,"{'KG Larsen': 1, 'CAR Hoare': 1, 'MM Bonsangue': 1, 'Vrije Univer': 1, 'ER Olderog': 1, 'SD Brookes': 1, 'JM Autebert': 1, 'HP Gumm': 1, 'JJMM Rutten': 1}"
FILIPPO BONCHI,"{'KG Larsen': 1, 'CAR Hoare': 1, 'MM Bonsangue': 1, 'Vrije Univer': 1, 'ER Olderog': 1, 'SD Brookes': 1, 'JM Autebert': 1, 'HP Gumm': 1, 'JJMM Rutten': 1}"
MARCELLO BONSANGUE,"{'KG Larsen': 1, 'CAR Hoare': 1, 'MM Bonsangue': 1, 'Vrije Univer': 1, 'ER Olderog': 1, 'SD Brookes': 1, 'JM Autebert': 1, 'HP Gumm': 1, 'JJMM Rutten': 1}"
Yogesh Simmhan,"{'TR However': 1, 'Architecture Principles': 1, 'GHz Cores': 1, 'GB RAM': 1, 'GiB RAM': 1, 'DSPS Patterns': 1}"
RALF WIMMER,"{'Wireless LAN': 1, 'Computing Counterexamples': 1, 'Gurobi Optimization': 1}"
NILS JANSEN,"{'Wireless LAN': 1, 'Computing Counterexamples': 1, 'Gurobi Optimization': 1}"
Leila SourakiAzad,"{'Sh Zhu': 1, 'SH Yang': 1, 'KE Skouby': 1, 'DL Brock': 1, 'Lili Zhao': 1}"
POONAM TANWAR,"{'Peter Norvig': 1, 'Stuart Russell': 1, 'Ma Haojun': 1, 'Jeremy Gow': 1, 'Poonam Tanwar': 1, 'Josef Meyer': 1, 'GJPM Houben': 1, 'VK Vaishnavi': 1, 'Zhao Zhen': 1, 'Xiaoyi Chi': 1, 'Artificial Intelligence': 1, 'Robert Dale': 1, 'Peng Yinghong': 1, 'Wai Khatib': 1, 'Han Reichgelt': 1, 'Lucja Iwanska': 1, 'WL Kuechler': 1, 'ShyhKang Jeng': 1}"
KAMLESH DATTA,"{'Peter Norvig': 1, 'Stuart Russell': 1, 'Ma Haojun': 1, 'Jeremy Gow': 1, 'Poonam Tanwar': 1, 'Josef Meyer': 1, 'GJPM Houben': 1, 'VK Vaishnavi': 1, 'Zhao Zhen': 1, 'Xiaoyi Chi': 1, 'Artificial Intelligence': 1, 'Robert Dale': 1, 'Peng Yinghong': 1, 'Wai Khatib': 1, 'Han Reichgelt': 1, 'Lucja Iwanska': 1, 'WL Kuechler': 1, 'ShyhKang Jeng': 1}"
ES Barcelona,"{'Quantum Identi?cation': 1, 'TS Han': 1}"
