Name,Value(The authors cited by this author and the number of citations)
Sanjay Nag,"{'Ravindra Hegadi': 1, 'Prof ASBhide': 1, 'Ke Zhang': 1, 'Suzie ElSaden': 1, 'Li Junli': 1, 'SL Hartmann': 1, 'Yi Yang': 1, 'Anam Mustaqeem': 1, 'Aalo Bistritz': 1, 'Yuri Boykov': 1, 'Sudipta Roy': 1, 'Zhuowen Tu': 1, 'Nicholas Ayache': 1, 'Allen Tannenbaum': 1, 'Habib Zaidi': 1, 'Ali Javed': 1, 'MMohammed Sathik': 1, 'Eitan Sharon': 1, 'Kingshuk Chatterjee': 1, 'TSelva Rani': 1, 'Yongyue Zhang': 1, 'Zheru Chi': 1, 'Henry Rusinek': 1, 'MCJobin Christ': 1, 'Lu Dongming': 1, 'Bach Cuadra': 1, 'Olga Veksler': 1, 'Mohammad Shokouhifar': 1, 'Benoit Macq': 1, 'Joshua Cates': 1, 'DL Pham': 1, 'SH Ong': 1, 'Xiaobing LI': 1, 'Morel JM': 1, 'Yue Zhou': 1, 'Siddhartha Bhattacharyya': 1, 'Hrvoje Kalini': 1, 'AmirEhsan Lashkari': 1, 'Arno Mundt': 1, 'Ghazanfar Latif': 1, 'Tolias YA': 1, 'SPIE Press': 1, 'Stuart Geman': 1, 'Ramsey AlHakim': 1, 'Galen Gisler': 1, 'Silbiger MS': 1, 'Gul Moonis': 1, 'Bo Wang': 1, 'Stephen Smith': 1, 'Yan Li': 1, 'Weiguo Fan': 1, 'Gregoire Malandain': 1, 'CY Kao': 1, 'PierreFrancois DHaese': 1, 'Praveen Pathak': 1, 'Pohlman KA': 1, 'Kazuhito Sato': 1, 'Chen SC': 1, 'Marcel Prastawa': 1, 'Ming Luo': 1, 'NR Pal': 1, 'Velthuizen RP': 1, 'Sethia JA': 1, 'Mark Schmidt': 1, 'PWT Krooshof': 1, 'Images Enhancement': 1, 'Steven Brem': 1, 'AX Falcao': 1, 'CW Shu': 1, 'Alexander Aplas': 1, 'Sens Donald': 1, 'SZulaikha Beevi': 1, 'Bhuvaneswari Sivakumar': 1, 'Jinhai Cai': 1, 'GJ Postma': 1, 'Mazani Manaf': 1, 'Michael Wels': 1, 'Alan Yuille': 1, 'Christine Graffingne': 1, 'Milan Sonkay': 1, 'Panas SM': 1, 'PierreYves Bondiau': 1, 'Toshimitsu Otani': 1, 'Wei Ping': 1, 'Ying Wu': 1, 'Atsushi Inugami': 1, 'DrKPrasada Rao': 1, 'Sakura Kadowaki': 1, 'Arthur Toga': 1, 'SK Pal': 1, 'Michael Brady': 1, 'Mohamed ABID': 1, 'James Fallon': 1, 'Dibyendu Ghoshal': 1, 'Vemuri BC': 1, 'Elizabeth Bullitt': 1, 'SubgJea KO': 1, 'Maria Zarifi': 1, 'Joachim Hornegger': 1, 'James Theiler': 1, 'AgnEs Desolneux': 1, 'Xavier Pennec': 1, 'Florian Steinke': 1, 'Arpana Kop': 1, 'Chunming Li': 1, 'Zhou Wang': 1, 'JeanMichel Morel': 1, 'Achi Brandt': 1, 'Daryoush Mortazavi': 1, 'Shaojun Wang': 1, 'Jayasanka Piyaratna': 1, 'PAV Miranda': 1, 'Ramin Zabih': 1, 'Ravi Bansal': 1, 'Gustavo Carneiro': 1, 'Ana Stelea': 1, 'Usha Sinha': 1, 'Bensaid AM': 1, 'Josep Llad¨®s': 1, 'Powell NA': 1, 'Qiong Liu': 1, 'Youping Deng': 1, 'YuFei Ma': 1, 'Suhuai Luo': 1, 'Undrill PE': 1, 'Navdeep Kumar': 1, 'KH Lee': 1, 'Jorge Gaviria': 1, 'YV Venkatesh': 1, 'Volker Blanz': 1, 'Qi Songz': 1, 'Jie Yang': 1, 'Bernhard Sch?lkopf': 1, 'Shraddha Dhande': 1, 'Siddheswar Ray': 1, 'Highpass Filter': 1, 'Watershed Methods': 1, 'Luc Vincent': 1, 'Suman Tatiraju': 1, 'Tehseen Fatima': 1, 'Jianguo Liu': 1, 'SK Satpathy': 1, 'Chanyang Xu': 1, 'Aakant Tauraniz': 1, 'Xiaodong Wuy': 1, 'Russell Greiner': 1, 'Radu Stefanescu': 1, 'Ilya Levner': 1, 'Stan Miklavcic': 1, 'Ying Zhuge': 1, 'Sugandha Arora': 1, 'Dongfeng Hany': 1, 'Martin Huber': 1, 'AJ Idema': 1, 'Robert Kozma': 1, 'Matt Clark': 1, 'ChengYi Liu': 1, 'Ross Frick': 1, 'Loukas Astrakas': 1, 'Padraig Cunningham': 1, 'Alper PAHS': 1, 'Viswanath Devanarayan': 1, 'Joerg Sander': 1, 'HongJiang Zhang': 1, 'ChiHoon Lee': 1, 'Zhang DQ': 1, 'Umapada Pal': 1, 'Mallikarjun Hangarge': 1, 'John Buattiy': 1, 'Aaron Lefohn': 1, 'Chenyang Xu': 1, 'Brain Tumor': 1, 'Guido Gerig': 1, 'Albert Murtha': 1, 'ChungWa Ho': 1, 'Andrei Irimia': 1, 'Dmitry Goldgof': 1, 'David Zhang': 1, 'MO Beger': 1, 'Linglin Xie': 1, 'Buckley DL': 1, 'Clarke LP': 1, 'Dorin Comaniciu': 1, 'Sonia Juneja': 1, 'WA SPIE': 1, 'Kazuhito SATO': 1, 'Lionel Moisan': 1, 'SPitchumani Angayarkanni': 1, 'Larry Hall': 1, 'Priyanka Patil': 1, 'Olivier Commowick': 1, 'Sean Ho': 1, 'LMC Buydens': 1, 'Atiq Islama': 1, 'Hall LO': 1, 'Nac¨¦ra BENAMRANE': 1, 'John Melonakos': 1, 'BM Dawant': 1, 'Bulent Sankur': 1, 'Chunliang Wang': 1, 'Khan Iftekharuddin': 1, 'Harris Wu': 1, 'John Bayouthy': 1, 'Garima Garg': 1, 'Shishir Dube': 1, 'Rajasvaran Logeswaran': 1, 'Enior Member': 1, 'Robert Vethuizen': 1, 'Ahmed KHARRAT': 1, 'Ayan Dey': 1, 'Abbes Amira': 1, 'Mehmet Sezgin': 1, 'Shafaf Ibrahim': 1, 'Changfeng Gui': 1, 'NC Yeo': 1, 'Leonardo Bottaci': 1, 'Hamid SoltanianZadeh': 1, 'Lions PL': 1, 'Valerie Duay': 1, 'Haralick RM': 1, 'Hirokazu Madokoro': 1, 'Avi Mehta': 1, 'Yuanjie Zheng': 1, 'Ross Whitaker': 1, 'Chen Gang': 1, 'Aria Tzika': 1, 'Jander Moreira': 1, 'Yong Hoon': 1}"
Brownian Motion,"{'The Hausdor?dimension': 1, 'HP McKean': 1}"
Sven Schewe,"{'ACM Press': 1, 'MH Tsai': 1, 'YK Tsay': 1}"
Thomas Varghese,"{'ACM Press': 1, 'MH Tsai': 1, 'YK Tsay': 1}"
Giuseppe Ateniese,"{'Przemysaw Wegrzyn': 1, 'Share Tresorit': 1, 'Wireshark Foundation': 1}"
ENS Cachan,"{'CC Chang': 1, 'World Scienti?c': 1, 'UNARY NEGATION': 1, 'Model Checking': 1, 'EM Clarke': 1, 'Finite Models': 1, 'SR Buss': 1, 'Programming ICALP': 1, 'Craig Interpolation': 1, 'KW Wagner': 1}"
AARON STUMP,"{'JY Girard': 1, 'T¦Õ WN': 1, 'Duckki Oe': 1, 'Garrin Kimmell': 1, 'IEEE Computer': 1, 'Mark Bickford': 1, 'Aaron Stump': 1}"
HANS ZANTEMA,"{'JY Girard': 1, 'T¦Õ WN': 1, 'Duckki Oe': 1, 'Garrin Kimmell': 1, 'IEEE Computer': 1, 'Mark Bickford': 1, 'Aaron Stump': 1}"
GARRIN KIMMELL,"{'JY Girard': 1, 'T¦Õ WN': 1, 'Duckki Oe': 1, 'Garrin Kimmell': 1, 'IEEE Computer': 1, 'Mark Bickford': 1, 'Aaron Stump': 1}"
Chris Thachuk,"{'Jongmin Kim': 1, 'Jie Chao': 1, 'Jorg Ackermann': 1, 'Karthik Sarma': 1, 'David Soloveichik': 1, 'Nicolas Behr': 1, 'Anne Condon': 1, 'Robert Brayton': 1, 'Monika Heiner': 1, 'Philippe Schnoebelen': 1, 'Javier Esparza': 1, 'David Gilbert': 1, 'Chris Thachuk': 1, 'By Theorem': 1, 'Darko Stefanovic': 1, 'Kevin Montagne': 1, 'Jens Einloft': 1, 'Qing Dong': 1, 'Raphael Plasson': 1, 'Peter Buchholz': 1, 'YuanJyue Chen': 1, 'Casey Grun': 1, 'Vincent Danos': 1, 'Petr Jan¡¦car': 1, 'Lulu Qian': 1, 'Ido Bachelet': 1, 'Neil Dalchau': 1, 'PCm FormalRIntermediateR': 1, 'Georg Seelig': 1, 'Hongzhou Gu': 1, 'Jer?ome Feret': 1, 'David Thorsley': 1}"
Erik Winfree,"{'Jongmin Kim': 1, 'Jie Chao': 1, 'Jorg Ackermann': 1, 'Karthik Sarma': 1, 'David Soloveichik': 1, 'Nicolas Behr': 1, 'Anne Condon': 1, 'Robert Brayton': 1, 'Monika Heiner': 1, 'Philippe Schnoebelen': 1, 'Javier Esparza': 1, 'David Gilbert': 1, 'Chris Thachuk': 1, 'By Theorem': 1, 'Darko Stefanovic': 1, 'Kevin Montagne': 1, 'Jens Einloft': 1, 'Qing Dong': 1, 'Raphael Plasson': 1, 'Peter Buchholz': 1, 'YuanJyue Chen': 1, 'Casey Grun': 1, 'Vincent Danos': 1, 'Petr Jan¡¦car': 1, 'Lulu Qian': 1, 'Ido Bachelet': 1, 'Neil Dalchau': 1, 'PCm FormalRIntermediateR': 1, 'Georg Seelig': 1, 'Hongzhou Gu': 1, 'Jer?ome Feret': 1, 'David Thorsley': 1}"
Alireza KeshavarzHaddad,"{'Chen Shan': 1, 'Jianying Zhou': 1, 'Wade Trappe': 1, 'Wendi Rabiner': 1, 'Rodrigo Roman': 1}"
Manije Keshtgary,"{'Chen Shan': 1, 'Jianying Zhou': 1, 'Wade Trappe': 1, 'Wendi Rabiner': 1, 'Rodrigo Roman': 1}"
New Delhi,"{'Jon Herstein': 1, 'Andrew Miller': 1, 'Razvan Bologa': 1, 'Michael Siegel': 1, 'Ali Arsanjani': 1, 'Mark Hansen': 1, 'In India': 1, 'Azlinah Mohamed': 1, 'Anita Goel': 1, 'Australian Government': 1, 'Kenneth ANDERSON': 1, 'AnaRamona Lupu': 1, 'Marcus Powell': 1, 'Caroline Roberts': 1, 'Annette J?ckle': 1, 'Marie Lall': 1, 'Stuart Madnick': 1, 'John DIXIE': 1, 'Tom Cassidy': 1, 'Haiyan Hua': 1, 'Brent Hailpern': 1}"
Virtual Reality,"{'Bowen Loftin': 1, 'Van Wyk': 1, 'Le Rossignol': 1, 'Seymour NE': 1, 'Wong DKY': 1, 'De Villiers': 1}"
Gazi Tanbhir,"{'Kafhali SE': 1, 'Lashkari AH': 1}"
Down Syndrome,"{'European Parliament': 1, 'PMLR Jan': 1, 'In Italy': 1}"
Pablo Torrijos,"{'Barredo Arrieta': 2, 'Data Mining': 1}"
Intelligent Information,"{'Literature Review': 1, 'Innovative Thinking': 1, 'Experimental Setup': 1, 'In Gender': 1, 'Entrepreneurship Research': 1, 'Future Work': 2, 'Data Collection': 2, 'Digital Transformation': 1, 'Saori Kawasaki': 1, 'Boris Bresic': 1, 'Miyoung Ryu': 1, 'Dan Suciu': 1, 'Jianjun Qin': 1, 'Janusz Granat': 1, 'Ciprian Obrad': 1, 'Victoria Clarke': 1, 'SeonKwan Han': 1, 'Libora OatesIndruchova': 1, 'Jiahua Zhou': 1, 'Tiffany Barnes': 1, 'ManuelaAndreea Petrescu': 1, 'Hamid Hasan': 1, 'Dawn Bennett': 1, 'EmiliaLoredana Pop': 1, 'Amna Niazi': 1, 'Lara Varpio': 1, 'Andreas Schleicher': 1, 'Sir Anthony': 1, 'Vasile Gherhes': 1, 'Virginia Braun': 1, 'Nurcan Kahraman': 1, 'Elvin Liu': 1, 'Vanessa Denis': 1, 'LITERATURE REVIEW': 1, 'Anthony Mann': 1, 'Akbar Azam': 1, 'Wendy Duhow': 1, 'Terralynn Forsyth': 1, 'Billy Wong': 1, 'Sophie Mckenzie': 1, 'ArthurJozsef Molnar': 1, 'Susan Fisk': 1, 'Joseph Byrum': 1, 'Samiha Marwan': 1, 'Sarah Evans': 1, 'Simona Motogna': 1, 'Thomas Jeffrey': 1, 'Hammon Ekhtiari': 1, 'Alexis Kaminsky': 1, 'PeiYi Lin': 1, 'Claire Nedellec': 1, 'Yasuo Hoshino': 1, 'Garteh Terry': 1, 'Bernadette Spieler': 1, 'Mujahif Hussain': 1, 'Ge Gao': 1, 'Nikki Hayfield': 1, 'Wolfgang Slany': 1, 'Katie Redmond': 1, 'Nick Chambers': 1, 'Qiping Zhang': 1, 'Peter Kemp': 1, 'Mehran Sahami': 1, 'Yun Dai': 1, 'Information Gain': 1, 'KU Leuven': 1, 'Statistical Testing': 1, 'Example Case': 1, 'Business Media': 1}"
Coenraad Mouton,"{'Junnan Li': 1, 'Hadi Daneshmand': 1, 'Corinna Cortes': 1, 'Olivier Bousquet': 2, 'Etienne Barnard': 1, 'Philipp Benz': 1, 'Pan Zhou': 1, 'Dilip Krishnan': 2, 'Piotr Bojanowski': 1, 'Coenraad Mouton': 2, 'Sergey Ioffe': 1, 'Karen Simonyan': 1, 'Ariel Kleiner': 1, 'Dimitris Tsipras': 1, 'Aaron Courville': 1, 'Gal Kaplun': 2, 'Zhun Deng': 1, 'Parth Natekar': 2, 'ChingYao Chuang': 1, 'Xiaohang Zhan': 1, 'Amir Joudaki': 1, 'Renjie Liao': 1, 'Samy Bengio': 2, 'David Arthur': 1, 'Chaoning Zhang': 1, 'Jiahao Xie': 1, 'Jianbo Shi': 1, 'Alex Schwing': 1, 'Nils Bjorck': 1, 'Yoshua Bengio': 1, 'Yann LeCun': 2, 'Ian Goodfellow': 1, 'Pierre Foret': 1, 'Preetum Nakkiran': 2, 'Yiding Jiang': 2, 'Youssef Mroueh': 1, 'Kenji Kawaguchi': 1, 'Zhiyuan Li': 1, 'Chiyuan Zhang': 2, 'Randall Balestriero': 1, 'Shibani Santurkar': 1, 'Mathilde Caron': 1, 'Shizhao Sun': 1, 'Srinadh Bhojanapalli': 1, 'Roozbeh Yousefzadeh': 1, 'Anish Athalye': 1, 'Sepp Hochreiter': 1, 'Naftali Tishby': 1, 'Tyler Derr': 1, 'Colin Wei': 1, 'Shuyue Guan': 1, 'Behnam Neyshabur': 1, 'Noga Zaslavsky': 1, 'Curtis Northcutt': 1, 'Gowthami Somepalli': 1, 'Liam Fowl': 1, 'Jure Sokolic': 1, 'Wei Chen': 1, 'Leon Bottou': 1, 'SeyedMohsen MoosaviDezfooli': 1, 'Hamid Karimi': 1, 'Nicolas Ballas': 1, 'Gamaleldin Elsayed': 1, 'Kaifeng Lyu': 1, 'Jason Lee': 1, 'Alhussein Fawzi': 1, 'Raja Giryes': 1, 'David Krueger': 1}"
Education Policy,"{'Accessed May': 1, 'BC David': 1, 'Policy Implications': 1, 'Online Available': 1}"
Bao LocPham,"{'Quynh Nhut': 1, 'Andrew Zisserman': 1, 'Hao Tuan': 1, 'Xavier Serra': 1}"
Thien Phu,"{'Quynh Nhut': 1, 'Andrew Zisserman': 1, 'Hao Tuan': 1, 'Xavier Serra': 1}"
Shaowei Zhu,"{'LIPIcsICALP SchlossDagstuhl': 1, 'Lecture Notes': 1}"
Zachary Kincaid,"{'LIPIcsICALP SchlossDagstuhl': 1, 'Lecture Notes': 1}"
Poulose Jacob,"{'MJ Hsiao': 1, 'Hiremath PS': 1, 'DH Ballard': 1, 'JZ Wang': 1, 'Zhuozheng Wang': 1, 'Pengyu Liu': 1, 'SK Dai': 1, 'Kebin Jia': 1, 'Banerjee Minakshi': 1, 'Subrahmanyam Murala': 1, 'Jia Li': 1, 'XC He': 1, 'Jagadeesh Pujari': 1, 'PW Huang': 1, 'Philippe Salembier': 1, 'MJ Swain': 1}"
Demetris Shianios,{'Remote Sensing': 1}
Anastasia Lavrukhina,{'Annika Steiber': 1}
Etienne Russeil,{'Annika Steiber': 1}
Janine Strotherm,"{ 'Ildeberto SantosRuiz': 1, 'Jorge Nocedal': 1, 'Janine Strotherm': 1, 'Fuchang Gao': 1, 'Solon Barocas': 1, 'Fred Morstatter': 1, 'Isabel Valera': 1, 'Ninareh Mehrabi': 1, 'Cynthia Dwork': 1, 'Moritz Hardt': 1, 'Stelios Vrachimis': 1, 'FranciscoRonay L¨®pezEstrada': 1}"
Barbara Hammer,"{ 'Ildeberto SantosRuiz': 1, 'Jorge Nocedal': 1, 'Janine Strotherm': 1, 'Fuchang Gao': 1, 'Solon Barocas': 1, 'Fred Morstatter': 1, 'Isabel Valera': 1, 'Ninareh Mehrabi': 1, 'Cynthia Dwork': 1, 'Moritz Hardt': 1, 'Stelios Vrachimis': 1, 'FranciscoRonay L¨®pezEstrada': 1}"
Muhammad Rajabinasab,"{'Ijaz Ahmad': 1, 'Gholamreza Aghamollaei': 1, 'Konstantinos Sechidis': 1, 'Zhiwen Cao': 1, 'Ronghua Shang': 1, 'Shanxiong Chen': 1, 'Jiabei Qian': 1, 'Sarah Nogueira': 1, 'Jiarui Kong': 1, 'Chen Yao': 1, 'Feixiang Sun': 1, 'Marie Kiermeier': 1, 'Xiaofeng Zhu': 1, 'Xiaochun Cao': 1, 'Gavin Brown': 1, 'Jinghua Liu': 1, 'Hongyu Pan': 1, 'Yuling Fan': 1, 'Arthur Zimek': 1, 'Wei Zheng': 1, 'Hailing Xiong': 1, 'Xijiong Xie': 1, 'Changqing Zhang': 1}"
Tobias Hyrup,"{'Ijaz Ahmad': 1, 'Gholamreza Aghamollaei': 1, 'Konstantinos Sechidis': 1, 'Zhiwen Cao': 1, 'Ronghua Shang': 1, 'Shanxiong Chen': 1, 'Jiabei Qian': 1, 'Sarah Nogueira': 1, 'Jiarui Kong': 1, 'Chen Yao': 1, 'Feixiang Sun': 1, 'Marie Kiermeier': 1, 'Xiaofeng Zhu': 1, 'Xiaochun Cao': 1, 'Gavin Brown': 1, 'Jinghua Liu': 1, 'Hongyu Pan': 1, 'Yuling Fan': 1, 'Arthur Zimek': 1, 'Wei Zheng': 1, 'Hailing Xiong': 1, 'Xijiong Xie': 1, 'Changqing Zhang': 1}"
Arthur Zimek,"{'Ijaz Ahmad': 1, 'Gholamreza Aghamollaei': 1, 'Konstantinos Sechidis': 1, 'Zhiwen Cao': 1, 'Ronghua Shang': 1, 'Shanxiong Chen': 1, 'Jiabei Qian': 1, 'Sarah Nogueira': 1, 'Jiarui Kong': 1, 'Chen Yao': 1, 'Feixiang Sun': 1, 'Marie Kiermeier': 1, 'Xiaofeng Zhu': 1, 'Xiaochun Cao': 1, 'Gavin Brown': 1, 'Jinghua Liu': 1, 'Hongyu Pan': 1, 'Yuling Fan': 1, 'Arthur Zimek': 1, 'Wei Zheng': 1, 'Hailing Xiong': 1, 'Xijiong Xie': 1, 'Changqing Zhang': 1}"
Raima Islam,"{'Label Smoothing': 1, 'Jiankang Deng': 1, 'Ablation Studies': 1, 'Fanglei Xue': 2, 'Hanting Li': 1, 'Shir Gur': 1, 'Zhiyuan Lin': 1, 'Weihong Deng': 2, 'Zhengyao Wen': 1, 'Nannan Wang': 1, 'Qingshan Liu': 2, 'Yuhang Zhang': 2, 'Lei Zhang': 1, 'Yandong Guo': 1, 'Zheng Zhu': 1, 'Qiangchang Wang': 2, 'Shan Li': 2, 'Wenzhong Lin': 1, 'Damian Horna': 1, 'Hangyu Li': 1, 'Zengqun Zhao': 2, 'Laxmidhar Behera': 1, 'Ashish Vaswani': 2, 'Noam Shazeer': 2, 'Chengrui Wang': 2, 'Jiali Ma': 1, 'Hila Chefer': 1, 'Wei Zhao': 1, 'Lango Mateusz': 1, 'Hanyang Wang': 1, 'Guan Huang': 1, 'Anima Majumder': 1, 'Zhongqi Yue': 1, 'Yanbei Chen': 1, 'Hongjing Niu': 1, 'Bo Li': 1, 'Dan Zeng': 1, 'Behzad Hasani': 2, 'Massimiliano Mancini': 1, 'Jia Guo': 1, 'Zhiyu Wu': 1, 'Dimitrios Kollias': 1, 'Ali Mollahosseini': 2, 'Miyuki Kamachi': 2, 'Yong Tao': 1, 'Jaeyeal Nam': 1, 'Shichuan Du': 1, 'Matias Mendieta': 1, 'Xiaojiang Peng': 1, 'Ce Zheng': 1, 'Sangwon Kim': 1, 'Haifeng Hu': 1, 'Kai Wang': 1, 'Xiang Wu': 1, 'Ran He': 1, 'Siyue Xie': 1}"
DongKyu Chae,"{'Label Smoothing': 1, 'Jiankang Deng': 1, 'Ablation Studies': 1, 'Fanglei Xue': 2, 'Hanting Li': 1, 'Shir Gur': 1, 'Zhiyuan Lin': 1, 'Weihong Deng': 2, 'Zhengyao Wen': 1, 'Nannan Wang': 1, 'Qingshan Liu': 2, 'Yuhang Zhang': 2, 'Lei Zhang': 1, 'Yandong Guo': 1, 'Zheng Zhu': 1, 'Qiangchang Wang': 2, 'Shan Li': 2, 'Wenzhong Lin': 1, 'Damian Horna': 1, 'Hangyu Li': 1, 'Zengqun Zhao': 2, 'Laxmidhar Behera': 1, 'Ashish Vaswani': 2, 'Noam Shazeer': 2, 'Chengrui Wang': 2, 'Jiali Ma': 1, 'Hila Chefer': 1, 'Wei Zhao': 1, 'Lango Mateusz': 1, 'Hanyang Wang': 1, 'Guan Huang': 1, 'Anima Majumder': 1, 'Zhongqi Yue': 1, 'Yanbei Chen': 1, 'Hongjing Niu': 1, 'Bo Li': 1, 'Dan Zeng': 1, 'Behzad Hasani': 2, 'Massimiliano Mancini': 1, 'Jia Guo': 1, 'Zhiyu Wu': 1, 'Dimitrios Kollias': 1, 'Ali Mollahosseini': 2, 'Miyuki Kamachi': 2, 'Yong Tao': 1, 'Jaeyeal Nam': 1, 'Shichuan Du': 1, 'Matias Mendieta': 1, 'Xiaojiang Peng': 1, 'Ce Zheng': 1, 'Sangwon Kim': 1, 'Haifeng Hu': 1, 'Kai Wang': 1, 'Xiang Wu': 1, 'Ran He': 1, 'Siyue Xie': 1}"
Umair Qudus,"{'Ngonga Ngomo': 1, 'Hong Kong': 1, 'In Section': 1}"
Michael R?der,"{'Ngonga Ngomo': 1, 'Hong Kong': 1, 'In Section': 1}"
Muhammad Saleem,"{'Ngonga Ngomo': 1, 'Hong Kong': 1, 'In Section': 1}"
Universit¨¦ Montpellier,"{'Wilf Theorem': 1, 'Schloss Dagstuhl': 1, 'Wilf FW': 1}"
Chengyu Yao,{'De Maesschalck': 1}
Hong Huang,{'De Maesschalck': 1}
Hang Gao,{'De Maesschalck': 1}
Fengge Wu,{'De Maesschalck': 1}
Hannes Thurnherr,"{'Trenton Bricken': 1, 'Adly Templeton': 1, 'David Lindner': 1, 'Karthik Narasimhan': 1, 'William Baker': 1, 'Xinyun Chen': 1, 'Peter Ti¡¦no': 1, 'Alexey Dosovitskiy': 1, 'Catherine Olsson': 1, 'Augustine MavorParker': 1, 'Nelson Elhage': 1, 'Mikita Balesni': 1, 'Noam Shazeer': 1, 'Ashish Vaswani': 1, 'Janos Kramar': 1, 'Kenneth Benoit': 1, 'Yu Zhang': 1, 'Clement Vignac': 1, 'Ola Ahmad': 1, 'Steven Bills': 1, 'Chang Liu': 1, 'Alec Radford': 1, 'Nicolas Bereux': 1, 'Arthur Conmy': 1, 'Lucas Beyer': 1, 'Nick Cammarata': 1, 'Andreas Loukas': 1, 'Jeremy Scheurer': 1, 'Yoav Goldberg': 1, 'Lauro Langosco': 1, 'Gail Weiss': 1}"
Kaspar Riesen,"{'Trenton Bricken': 1, 'Adly Templeton': 1, 'David Lindner': 1, 'Karthik Narasimhan': 1, 'William Baker': 1, 'Xinyun Chen': 1, 'Peter Ti¡¦no': 1, 'Alexey Dosovitskiy': 1, 'Catherine Olsson': 1, 'Augustine MavorParker': 1, 'Nelson Elhage': 1, 'Mikita Balesni': 1, 'Noam Shazeer': 1, 'Ashish Vaswani': 1, 'Janos Kramar': 1, 'Kenneth Benoit': 1, 'Yu Zhang': 1, 'Clement Vignac': 1, 'Ola Ahmad': 1, 'Steven Bills': 1, 'Chang Liu': 1, 'Alec Radford': 1, 'Nicolas Bereux': 1, 'Arthur Conmy': 1, 'Lucas Beyer': 1, 'Nick Cammarata': 1, 'Andreas Loukas': 1, 'Jeremy Scheurer': 1, 'Yoav Goldberg': 1, 'Lauro Langosco': 1, 'Gail Weiss': 1}"
Saudi Arabia,"{'Optimized Link': 1, 'Also DHT': 1, 'ClientServerbased CVE': 1, 'Distributed Interactive': 1}"
Priyesh Vakharia,{'Singapore Dec': 1}
Abigail Kufeldt,{'Singapore Dec': 1}
Max Meyers,{'Singapore Dec': 1}
Ian Lane,{'Singapore Dec': 1}
Maxime Talarmain,"{'Ashish Vaswani': 1, 'KB Bulatov': 1, 'Noam Shazeer': 1, 'EV Emelianova': 1}"
Carlos Boned,"{'Ashish Vaswani': 1, 'KB Bulatov': 1, 'Noam Shazeer': 1, 'EV Emelianova': 1}"
Jakub Pokrywka,"{'JB Alayrac': 1, 'TY Lin': 1}"
Piotr Wierzcho,"{'JB Alayrac': 1, 'TY Lin': 1}"
Kornel Weryszko,"{'JB Alayrac': 1, 'TY Lin': 1}"
Krzysztof Jassem,"{'JB Alayrac': 1, 'TY Lin': 1}"
JOSE RODRIGUES,{'Gigabit Ethernet': 1}
ANDRE BALAN,{'Gigabit Ethernet': 1}
LUCIANA ZAINA,{'Gigabit Ethernet': 1}
AGMA TRAINA,{'Gigabit Ethernet': 1}
Korbinian Randl,{'Curran Associates': 1}
