Name（当前作者）,Value（该作者引用过的作者及引用次数）
Vjosa Shatri,"{'Rafael Kelly': 1, 'Idan Segev': 1, 'Fenglan Jia': 1, 'Egidio DAngelo': 1, 'Zhang Wenhui': 1, 'Yongqiao Wei': 1, 'Masao Ito': 1, 'Gilad Jacobson': 1, 'Masakazu Konishi': 1, 'Wen Yu': 1,  'Li Hou': 1, 'Panagiotis Nezis': 1, 'Peter Corke': 1, 'Slater NT': 1, 'William Hodos': 1, 'Schuerger RJ': 1, 'Zhu Yinfa': 1, 'Fabrizio Gabbiani': 1, 'John Porrill': 1, 'Jingdong Zhang': 1, 'Martin Garwicz': 1, 'Qinglin Chang': 1, 'David Marr': 1, 'Henrik J?rntell': 1, 'Bishop GA': 1, 'Karl Herrup': 1, 'Christof Koch': 1, 'Egidio DAngel': 1, 'Paul Dean': 1, 'Jin Bao': 1, 'Barbara Kuemerle': 1, 'CarlFredrik Ekerot': 1}"
Avni Skeja,"{'Rafael Kelly': 1, 'Idan Segev': 1, 'Fenglan Jia': 1, 'Egidio DAngelo': 1, 'Zhang Wenhui': 1, 'Yongqiao Wei': 1, 'Masao Ito': 1, 'Gilad Jacobson': 1, 'Masakazu Konishi': 1, 'Wen Yu': 1,  'Li Hou': 1, 'Panagiotis Nezis': 1, 'Peter Corke': 1, 'Slater NT': 1, 'William Hodos': 1, 'Schuerger RJ': 1, 'Zhu Yinfa': 1, 'Fabrizio Gabbiani': 1, 'John Porrill': 1, 'Jingdong Zhang': 1, 'Martin Garwicz': 1, 'Qinglin Chang': 1, 'David Marr': 1, 'Henrik J?rntell': 1, 'Bishop GA': 1, 'Karl Herrup': 1, 'Christof Koch': 1, 'Egidio DAngel': 1, 'Paul Dean': 1, 'Jin Bao': 1, 'Barbara Kuemerle': 1, 'CarlFredrik Ekerot': 1}"
Web Services,"{ 'Edward Overly': 1, 'Christophe Blanchi': 1, 'Carl Lagoze': 1, 'Ross Wayland': 1, 'Kurt Maly': 1, 'Robert Wilensky': 1, 'Apache JMeter': 1}"
ENS Lyon,"{'JP Bernardy': 1, 'Howard Straubing': 1, 'Thomas Colcombet': 1, 'Christof Loding': 1, 'Simon Iosti': 1, 'Christel Baier': 1, 'Mind Series': 1, 'David Muller': 1, 'Orna Kupferman': 1, 'Denis Kuperberg': 1, 'Andreas Weber': 1, 'Sanjay Jain': 1, 'Udi Boker': 1, 'Joachim Klein': 1}"
Adolfo Neto,"{'Arthur Buchsbaum': 1, 'Walter Carnielli': 1, 'Carlos Caleiro': 1, 'Israel Brunstein': 1, 'Wendy MacCaull': 1, 'Decio Krause': 1, 'Birkhauser Basel': 1, 'Mamede LimaMarques': 1, 'Marcelo Finger': 1, 'Adolfo Neto': 1}"
Ananthi Seshasaayee,"{'Tree Algorithm': 1, 'Antonio Fumero': 1, 'Problem Definition': 1, 'Aurona Gerber': 1, 'Dhiraj Joshi': 1, 'Maximum Spanning': 1, 'Sam Chapman': 1, 'Ritendra Datta': 1, 'Antonio Tapiador': 1}"
VICTOR KHOMENKO,{'GL Ferrari': 1}
ROLAND MEYER,{'GL Ferrari': 1}
AND REINER,{'GL Ferrari': 1}
ANTTI KUUSISTO,"{'Ian Hodkinson': 1, 'Jacek Bochnak': 1, 'Wolfram Schwabhauser': 1, 'Roman Kontchakov': 1, 'Jeremy Meyers': 1, 'Frank Wolter': 1, 'Schloss DagstuhlLeibniz': 1, 'Ian PrattHartmann': 1, 'Michel Coste': 1, 'Marc Gyssens': 1, 'Solomon Feferman': 1, 'Valentin Goranko': 1, 'Mikhail Sheremet': 1, 'Alexander Prestel': 1, 'Tinko Tinchev': 1, 'Marco Aiello': 1, 'Alfred Tarski': 1, 'Yuri Gurevich': 1, 'Antti Kuusisto': 1, 'Wanda Szmielew': 1, 'Bart Kuijpers': 1}"
JEREMY MEYERS,"{'Ian Hodkinson': 1, 'Jacek Bochnak': 1, 'Wolfram Schwabhauser': 1, 'Roman Kontchakov': 1, 'Jeremy Meyers': 1, 'Frank Wolter': 1, 'Schloss DagstuhlLeibniz': 1, 'Ian PrattHartmann': 1, 'Michel Coste': 1, 'Marc Gyssens': 1, 'Solomon Feferman': 1, 'Valentin Goranko': 1, 'Mikhail Sheremet': 1, 'Alexander Prestel': 1, 'Tinko Tinchev': 1, 'Marco Aiello': 1, 'Alfred Tarski': 1, 'Yuri Gurevich': 1, 'Antti Kuusisto': 1, 'Wanda Szmielew': 1, 'Bart Kuijpers': 1}"
Marjan Mernik,"{'Martinez Lopez': 1, 'Eclipse EMF': 1, 'Create GMF': 1, 'Eclipse GMF': 1}"
Iztok Fister,"{'Martinez Lopez': 1, 'Eclipse EMF': 1, 'Create GMF': 1, 'Eclipse GMF': 1}"
Shaily Mittal,"{'EW Dijkstra': 1, 'RI Bahar': 1, 'ST Srinivasan': 1, 'JEB Moss': 1, 'JW Chung': 1, 'Transactional Memory': 1, 'DH Albonesi': 1, 'In International': 1}"
QuistAphetsi Kester,"{'Raghuraman Krishnamurthy': 1, 'Baskar Senguttuvan': 1}"
Dragan Mati,"{'JP Hamiez': 1, 'JK Hao': 1}"
Jozef Kraticab,"{'JP Hamiez': 1, 'JK Hao': 1}"
Vladimir Filipovi,"{'JP Hamiez': 1, 'JK Hao': 1}"
WILLEM FOUCH,"{'Eike Neumann': 1, 'Guido Gherardi': 1, 'Mathieu Hoyrup': 1, 'Vasco Brattka': 1, 'Fachbereich Informatik': 1, 'Kojiro Higuchi': 1, 'Remote Control': 1, 'George Davie': 1, 'Rupert Holzl': 1, 'Laurent Bienvenu': 1}"
The Author,"{'Ali MJ': 1, 'Khan MA': 1, 'Ullah MS': 1, 'Ahamed MF': 1, 'Gu IYH': 1, 'Bhatele KR': 1, 'Weinberger KQ': 1}"
Sunyoung Jung,{'Hrishikesh Jaware': 1}
Yoonseok Choi,{'Hrishikesh Jaware': 1}
Minyoung Jung,{'Hrishikesh Jaware': 1}
Jiri Mekyska,{'Van Waelvelde': 1}
Zoltan Galaz,{'Van Waelvelde': 1}
Sushant More,{'Denis Chetverikov': 1}
Priya Kotwal,{'Denis Chetverikov': 1}
World Congress,"{'AN Gomez': 1, 'IS Kweon': 1, 'JY Lee': 1}"
Leila Kosseim,{'MW Chang': 1}
Antoine Legouhy,"{'De Vos': 1, 'Andersson JLR': 1, 'Rohde GK': 1, 'Barnett AS': 1, 'In Eq': 1}"
Ross Callaghan,"{'De Vos': 1, 'Andersson JLR': 1, 'Rohde GK': 1, 'Barnett AS': 1, 'In Eq': 1}"
Whitney Stee,"{'De Vos': 1, 'Andersson JLR': 1, 'Rohde GK': 1, 'Barnett AS': 1}"
Birgitta DrespLangley,"{'Metzler AB': 1, 'Unigrafia Oy': 1, 'John Wiley': 1, 'Eglen SJ': 1, 'Gichoya JW': 1, 'Yang JF': 1, 'Rasband WS': 1, 'Schneider CA': 1}"
Electronic Government,{'Van Loenen': 1}
IFIP WG,{'Van Loenen': 1}
United Kingdom,"{'De Swart': 1, 'Mac Lane': 1, 'Then Proc': 1}"
Pasin Manurangsi,"{'Edith Elkind': 1, 'Nicholas Teh': 1, 'Mohammad Ghodsi': 1, 'Hadi Hosseini': 1, 'Pasin Manurangsi': 1, 'Jugal Garg': 1, 'Andrew Searns': 1, 'Vincent Conitzer': 1, 'Haris Aziz': 1, 'Alexandros Hollender': 1, 'Proof First': 1, 'Nawal Benabbou': 1, 'Jack Robertson': 1, 'Aris FilosRatsikas': 1, 'David Kurokawa': 1, 'Rupert Freeman': 1, 'Erel SegalHalevi': 1, 'Maria Kyropoulou': 1, 'Hannaneh Akrami': 1, 'Oren Patashnik': 1, 'Warut Suksompong': 1, 'Paul Erdos': 1, 'Mithun Chakraborty': 1, 'William Webb': 1, 'Jonathan Scarlett': 1}"
Warut Suksompong,"{'Edith Elkind': 1, 'Nicholas Teh': 1, 'Mohammad Ghodsi': 2, 'Hadi Hosseini': 1, 'Pasin Manurangsi': 2, 'Jugal Garg': 1, 'Andrew Searns': 1, 'Vincent Conitzer': 2, 'Haris Aziz': 2, 'Alexandros Hollender': 2, 'Proof First': 1, 'Nawal Benabbou': 2, 'Jack Robertson': 1, 'Aris FilosRatsikas': 1, 'David Kurokawa': 2, 'Rupert Freeman': 2, 'Erel SegalHalevi': 2, 'Maria Kyropoulou': 1, 'Hannaneh Akrami': 1, 'Oren Patashnik': 1, 'Warut Suksompong': 1, 'Paul Erdos': 1, 'Mithun Chakraborty': 2, 'William Webb': 1, 'Jonathan Scarlett': 1, 'Ayumi Igarashi': 1, 'Amir Jafari': 1, 'Moritz Hardt': 1, 'Vittorio Bilo': 1, 'Georgios Amanatidis': 1, 'Taiki Todo': 1, 'Arpita Biswas': 1, 'Evangelos Markakis': 1, 'Cynthia Dwork': 1, 'Hoon Oh': 1, 'Georgios Birmpas': 1, 'Moshe Mash': 1, 'Xinhang Lu': 1, 'Kristof Berczi': 1, 'Stanford Uni': 1, 'Runcong Li': 1, 'Xiaohui Bei': 1, 'Anna Bogomolnaia': 1, 'Ioannis Caragiannis': 1, 'Benjamin Plaut': 1}"
ADRIAN RUTLE,"{'Richard Helm': 1, 'Chiara Muzi': 1, 'Fabrizio Fornari': 1, 'Cedric Favre': 1, 'Marion Scholz': 1, 'Souheib Baarir': 1, 'World Scientific': 1, 'Cama Camunda': 1}"
Jan Jurkaa,{'Mac Lane': 1}
Stefan Miliusb,{'Mac Lane': 1}
Henning Urbatb,{'Mac Lane': 1}
Ali Mehrban,"{'Pegah Ahadian': 1, 'Maryam Babaei': 1, 'Kourosh Parand': 1}"
Pegah Ahadian,"{'Pegah Ahadian': 1, 'Maryam Babaei': 1, 'Kourosh Parand': 1}"
FRANCESCO TIEZZI,{'Morgan Kaufmann': 1}
Yuan Su,"{ 'Avinatan Hassidim': 1, 'Mario Berta': 1, 'Yuto Ashida': 1, 'Robert Grone': 1, 'Yulong Dong': 1, 'HwaLong Gau': 1, 'Vittorio Giovannetti': 1, 'JinPeng Liu': 1, 'VV Shende': 1, 'Thomas Ransford': 1, 'Lothar Reichel': 1, 'Batzorig Undrakh': 1, 'Sam McArdle': 1, 'Ashley Montanaro': 1, 'You Zhou': 1, 'Dong An': 1, 'Zongping Gong': 1, 'Aaron Ostrander': 1, 'Terence Tao': 1, 'Yuan Su': 1, 'Dmitri Maslov': 1, 'Sergei Kalmykov': 1, 'David Poulin': 1, 'Lin Lin': 1, 'Mark Embree': 1, 'Joonho Lee': 1, 'Hari Krovi': 1, 'Iordanis Kerenidis': 1, 'Josep Ferrer': 1, 'Martin Vetterli': 1, 'Pawel Wocjan': 1, 'Earl Campbell': 1, 'Arne Jensen': 1, 'SS Bullock': 1, 'Asuka Ohashi': 1, 'Jordi Tura': 1, 'Bernhard Beckermann': 1, 'Souichi Takahira': 1, 'Marcin Zwierz': 1, 'Qi Zhao': 1, 'Steven Roman': 1, 'Yu Tong': 1, 'Seth Lloyd': 1, 'Serge Lang': 1, 'Anupam Prakash': 1, 'Kianna Wan': 1, 'Di Fang': 1, 'Mario Motta': 1, 'Changpeng Shao': 1, 'Menahem Schiffer': 1, 'ChiFang Chen': 1, 'Andras Gilyen': 1, 'James Demmel': 1, 'Yimin Ge': 1, 'Bela Nagy': 1, 'David Mingueza': 1, 'ChiKwong Li': 1, 'Duncan Mills': 1, 'Shantanav Chakraborty': 1, 'Sheldon Axler': 1, 'Adiyasuren Vandanjav': 1, 'KhD Ikramov': 1, 'Peter Henrici': 1}"
HRISTINA PALIKAREVA,"{'Let PX': 1, 'CSP Syntax': 1, 'JY Girard': 1, 'Experimental Results': 1, 'Future Work': 1}"
Institut Polytechnique,"{'JM Andreoli': 1, 'JH Wu': 1, 'JY Girard': 1, 'Martin Krejca': 1, 'Heinz Muhlenbein': 1, 'Thomas Jansen': 1, 'Ke Tang': 1, 'Frank Neumann': 1, 'Yang Yu': 1, 'Dirk Sudholt': 1, 'Timo Kotzing': 1, 'Carsten Witt': 1, 'Chao Qian': 1, 'Pedro Larranaga': 1, 'Carola Doerr': 1, 'Mark Hauschild': 1, 'Marc Dufay': 1, 'DucCuong Dang': 1, 'Weijie Zheng': 1, 'Morgan Kaufmann': 1, 'Tianshi Chen': 1, 'Alberto OchoaRodriguez': 1, 'Tobias Friedrich': 1, 'Alexander Mendiburu': 1, 'Riade Benbaki': 1, 'Andrei Lissovoi': 1, 'Martin Pelikan': 1, 'Roberto Santana': 1, 'Johannes Lengler': 1, 'Stefan Droste': 1, 'Benjamin Doerr': 1, 'Daniel Johannsen': 1, 'Shouda Wang': 1}"
MICHELE PINNA,"{'CCS Syntax': 1, 'Revised Papers': 1, 'Schloss Dagstuhl': 1, 'Let NP': 1, 'Just Accepted': 1, 'Unravel Nets': 1}"
Nils Freyer,"{'JMLR Workshop': 1, 'Hong Kong': 1}"
Keisuke Okamura,"{'Artificial Intelligence': 1, 'Jason Priem': 1, 'User Guide': 1, 'Heather Piwowar': 1, 'Particle Physics': 1}"
Aythami Morales,{'Pattern Recognition': 1}
Manel Mili,{'Le Gall': 1}
Asma Kerkeni,{'Le Gall': 1}
WOLFGANG POIGER,"{'In Section': 1, 'In KPT': 1}"
Debajyoti Mukhopadhyay,"{'YuHuai TSAI': 1, 'Guo Wenyue': 1, 'Hui Meng': 1, 'Falak Nawaz': 1, 'Ashley Aitken': 1, 'Guisheng Chen': 1, 'Ahmed Gater': 1, 'Tinglei Huan': 1, 'Christian Platzer': 1, 'Nick Bassiliades': 1, 'Yung TANG': 1, 'Daniela Grigori': 1, 'Jianming Zhou': 1, 'Thomas Hofmann': 1, 'Christof Bornhovd': 1, 'Kecheng Liu': 1, 'Tianlei Zhang': 1, 'Fatih Emekci': 1, 'Liping Xiao': 1, 'Qu Haicheng': 1, 'Frank Johnsen': 1, 'Georgios Meditskos': 1, 'Wenge Rong': 1, 'Meizhou Shen': 1, 'Marco Aiello': 1, 'Divyakant Agrawal': 1, 'Kamran Qadir': 1, 'Chen Wu': 1, 'Deyi Li': 1, 'Bo Zhou': 1, 'Carsten Griwodz': 1, 'Elizabeth Chang': 1, 'Chen Hong': 1, 'Anders Eggen': 1, 'Pal Halvorsen': 1, 'Mokrane Bouzeghoub': 1, 'Jie Liu': 1}"
Archana Chougule,"{'YuHuai TSAI': 1, 'Guo Wenyue': 1, 'Hui Meng': 1, 'Falak Nawaz': 1, 'Ashley Aitken': 1, 'Guisheng Chen': 1, 'Ahmed Gater': 1, 'Tinglei Huan': 1, 'Christian Platzer': 1, 'Nick Bassiliades': 1, 'Yung TANG': 1, 'Daniela Grigori': 1, 'Jianming Zhou': 1, 'Thomas Hofmann': 1, 'Christof Bornhovd': 1, 'Kecheng Liu': 1, 'Tianlei Zhang': 1, 'Fatih Emekci': 1, 'Liping Xiao': 1, 'Qu Haicheng': 1, 'Frank Johnsen': 1, 'Georgios Meditskos': 1, 'Wenge Rong': 1, 'Meizhou Shen': 1, 'Marco Aiello': 1, 'Divyakant Agrawal': 1, 'Kamran Qadir': 1, 'Chen Wu': 1, 'Deyi Li': 1, 'Bo Zhou': 1, 'Carsten Griwodz': 1, 'Elizabeth Chang': 1, 'Chen Hong': 1, 'Anders Eggen': 1, 'Pal Halvorsen': 1, 'Mokrane Bouzeghoub': 1, 'Jie Liu': 1}"
Lei Pan,"{'MusicAllOnionA Large': 1, 'Evaluation Metrics': 1, 'Parameter Complexity': 1, 'Lightgcn Simplifying': 1}"
VonWun Soo,"{'MusicAllOnionA Large': 1, 'Evaluation Metrics': 1, 'Parameter Complexity': 1, 'Lightgcn Simplifying': 1}"
Tanjim Mahmud,"{'Md Abdul': 1, 'Muhammad Moin': 1}"
Michal Ptaszynski,"{'Md Abdul': 1, 'Muhammad Moin': 1}"
Fumito Masui,"{'Md Abdul': 1, 'Muhammad Moin': 1}"
Georgios Papadopoulos,"{'Curran Associates': 1, 'Caribe Hotel': 1, 'San Juan': 1}"
Fran Silavong,"{'Curran Associates': 1, 'Caribe Hotel': 1, 'San Juan': 1}"
Sean Moran,"{'Curran Associates': 1, 'Caribe Hotel': 1, 'San Juan': 1}"
Yueyang Liu,{'Van Engelen': 1}
Zois Boukouvalas,{'Van Engelen': 1}
Nathalie Japkowicz,{'Van Engelen': 1}
Susan Leavy,"{'Macmillan Ltd': 1, 'Publishing History': 1, 'Van Cranenburgh': 1}"
Gerardine Meaney,"{'Macmillan Ltd': 1, 'Publishing History': 1, 'Van Cranenburgh': 1}"
Karen Wade,"{'Macmillan Ltd': 1, 'Publishing History': 1, 'Van Cranenburgh': 1}"
Derek Greene,"{'Macmillan Ltd': 1, 'Publishing History': 1, 'Van Cranenburgh': 1}"
Nikolaus Korfhage,{'Erin Liong': 1}
Bernd Freisleben,{'Erin Liong': 1}
Ulrike Kuhl,"{'Mc Grath': 1, 'Van Looveren': 1}"
Dusko Pavlovic,"{'Michael Makkai': 1, 'Dusko Pavlovic': 1, 'Dynamic Logic': 1, 'André Joyal': 1, 'Andrée Bastiani': 1, 'David Easley': 1, 'Jorma Rissanen': 1, 'Bob Coecke': 1, 'Alexandru Baltag': 1, 'Martin Davis': 1, 'Ionut Tutu': 1, 'Eric Martin': 1, 'JoséLuiz Fiadeiro': 1}"
Temra Pavlovic,"{'Michael Makkai': 1, 'Dusko Pavlovic': 1, 'Dynamic Logic': 1, 'André Joyal': 1, 'Andrée Bastiani': 1, 'David Easley': 1, 'Jorma Rissanen': 1, 'Bob Coecke': 1, 'Alexandru Baltag': 1, 'Martin Davis': 1, 'Ionut Tutu': 1, 'Eric Martin': 1, 'JoséLuiz Fiadeiro': 1}"
JeanBaptiste Vienneyb,"{'In Section': 1, 'JB Vienney': 1}"
Kyrre Glette,"{'Joel Lehman': 1, 'Adam Gaier': 1, 'Czech Republic': 1, 'Alexander Asteroth': 1, 'Eliseo Ferrante': 1, 'Kyrre Glette': 1, 'Karine Miras': 1, 'JeanBaptiste Mouret': 1, 'Frank Veenstra': 1}"
Milan Lopuha?Zwakenberg,"{'JF Logics': 1, 'Leveraging Algo': 1}"
RALPH SARKIS,"{'Fuzzy Relations': 1, 'Translation Let': 1, 'In Wec': 1, 'Schloss DagstuhlLeibniz': 1, 'Giovanni Bacci': 1, 'In Example': 1, 'Schloss Dagstuhl': 1, 'Free Objects': 1, 'Technical Background': 1, 'By WEAKENING': 1}"
Mike Nkongolo,"{'JA Lee': 1, 'Update Rule': 1, 'Prior Probability': 1, 'Objective Function': 1}"
Takao Nishizeki,"{'HI Lu': 1, 'By Lemmas': 1}"
REINHARD PICHLER,"{'Given QX': 1, 'Schloss Dagstuhl': 1, 'Hongzhi Wang': 1, 'Brahim Hnich': 1, 'Future Work': 1}"
Mohamed Amroune,{'JM Inglebert': 1}
Nacereddine Zarour,{'JM Inglebert': 1}
STEFAN MILIUS,"{'Vrije Univer': 1, 'Stefan Milius': 1, 'Algebraic Recognition': 1, 'Mai Gehrke': 1, 'JeanEric Pin': 1, 'Future Work': 1, 'Logic History': 1, 'Clemens Kupke': 1, 'Nick Bezhanishvili': 1, 'In Set': 1, 'An Invautomaton': 1, 'Adolfo BallesterBolinches': 1, 'Enric CosmeLlopez': 1, 'Bernhard Banaschewski': 1}"
Botnet Attack,"{'Chase Cotton': 1, 'Mario Proenca': 1, 'Ahmad Ashari': 1, 'Tri Priyambodo': 1, 'Joel Rodrigues': 1, 'Sebastian Garcia': 1, 'De Lucia': 1, 'Vania Conan': 1, 'Luiz Carvalho': 1, 'Mathieu Bouet': 1, 'Jalal AlMuhtadi': 1, 'Tin Kam': 1}"
Elena Mart,{'Siemens Healthineers': 1}
Maria Nesterova,"{'Michael Dennis': 1, 'Ilge Akkaya': 1, 'Bowen Baker': 1, 'Aleksei Petrenko': 1, 'Alexey Skrynnik': 1, 'Chris Hesse': 1, 'Sanmit Narvekar': 1, 'Karl Cobbe': 1, 'Filip Wolski': 1, 'Christopher Berner': 1, 'Avital Oliver': 1, 'Yuanxin Zhang': 1, 'Alexandra Yakovleva': 1, 'Zhehui Huang': 1, 'Sainbayar Sukhbaatar': 1, 'Edward Grefenstette': 1, 'Ingmar Kanitscheider': 1, 'John Schulman': 1, 'Greg Brockman': 1, 'Zeming Lin': 1, 'Tambet Matiisen': 1, 'Tarun Gupta': 1, 'Anton Andreychuk': 1, 'Natasha Jaques': 1, 'Minqi Jiang': 1, 'Bei Peng': 1, 'Jiayu Chen': 1}"
Alexey Skrynnik,"{'Michael Dennis': 1, 'Ilge Akkaya': 1, 'Bowen Baker': 1, 'Aleksei Petrenko': 1, 'Alexey Skrynnik': 1, 'Chris Hesse': 1, 'Sanmit Narvekar': 1, 'Karl Cobbe': 1, 'Filip Wolski': 1, 'Christopher Berner': 1, 'Avital Oliver': 1, 'Yuanxin Zhang': 1, 'Alexandra Yakovleva': 1, 'Zhehui Huang': 1, 'Sainbayar Sukhbaatar': 1, 'Edward Grefenstette': 1, 'Ingmar Kanitscheider': 1, 'John Schulman': 1, 'Greg Brockman': 1, 'Zeming Lin': 1, 'Tambet Matiisen': 1, 'Tarun Gupta': 1, 'Anton Andreychuk': 1, 'Natasha Jaques': 1, 'Minqi Jiang': 1, 'Bei Peng': 1, 'Jiayu Chen': 1}"
Bart Meyers,"{'RAMI ZVEI': 1, 'Van Mierlo': 1, 'Van Acker': 1, 'IOP Publishing': 1, 'Fidelity Considerations': 1, 'Sensing Components': 1, 'Lifecycle Stages': 1, 'Acting Components': 1}"
Maurizio Ferrari,"{'Ferrari Dacrema': 1, 'Perez Maurera': 1}"
TuanPhong Nguyen,"{'XH Phan': 1, 'KW Chang': 1, 'LM Nguyen': 1, 'AC Le': 1, 'TP Nguyen': 1, 'RE Fan': 1}"
QuocTuan Truong,"{'XH Phan': 1, 'KW Chang': 1, 'LM Nguyen': 1, 'AC Le': 1, 'TP Nguyen': 1, 'RE Fan': 1}"
XuanNam Nguyen,"{'XH Phan': 1, 'KW Chang': 1, 'LM Nguyen': 1, 'AC Le': 1, 'TP Nguyen': 1, 'RE Fan': 1}"
AnhCuong Le,"{'XH Phan': 1, 'KW Chang': 1, 'LM Nguyen': 1, 'AC Le': 1, 'TP Nguyen': 1, 'RE Fan': 1}"
Mathematical Structures,"{'The Cantor': 1, 'Sharp Elements': 1, 'By Lemma': 1, 'As Fig': 1, 'Lucatelli Nunes': 1}"
Adriana Palacios,"{'Generalized Wasserstein': 1, 'Focal Loss': 1, 'Weighted CrossEntropy': 1}"
Gilberto OchoaRuiz,"{'Generalized Wasserstein': 1, 'Focal Loss': 1, 'Weighted CrossEntropy': 1}"
Christian Retor,"{'James Pustejovsky': 1, 'LM RealCoelho': 1, 'Christian Bassac': 1, 'Nicholas Asher': 1, 'Richard Moot': 1, 'Ann Copestake': 1}"
JULIE PARREAUX,"{'In Figure': 2, 'Schloss DagstuhlLeibniz': 1, 'By Theorem': 1, 'From Lemma': 1, 'By Lemma': 1}"
Abhijeet Narang,{'JY Zhu': 1}
Abhigyan Raj,{'JY Zhu': 1}
Mihaela Pop,{'JY Zhu': 1}
Sylvain Lombardy,"{'Rational Series': 1, 'JM Champarnaud': 1}"
Jacques Sakarovitch,"{'Rational Series': 1, 'JM Champarnaud': 1}"
XH Amsterdam,{ 'Brinch Hansen': 1}
Stoyan Maleshkov,"{'KU Doerr': 1, 'PFF Rosa': 1}"
Dimo Chotrov,"{'KU Doerr': 1, 'PFF Rosa': 1}"
Analyzing Fuzzy,"{'Ravinder Mehta': 1, 'Gonzalo Napoles': 1, 'Agnieszka Jastrze': 1, 'EI Papageorgiou': 1, 'Alexander Yastrebov': 1, 'Lukasz Kurgan': 1, 'Elpiniki Papageorgiou': 1, 'Sebastian Khor': 1, 'Isel Grau': 1, 'Thomas TorsneyWeir': 1, 'Chrysostomos Stylios': 1, 'Yaima Filiberto': 1, 'Mabel Frias': 1, 'Agnieszka Jastrzebska': 1, 'Wojciech Stach': 1, 'Katarzyna Poczeta': 1, 'Samvel Mkhitaryan': 1, 'Francisco Herrera': 1}"
Yusuke Kawamoto,{'Von Elm': 1}
Tetsuya Sato,{'Von Elm': 1}
Kohei Suenaga,{'Von Elm': 1}
Kucera Theorem,"{'Alexander Zvonkin': 1, 'George Barmpalias': 1}"
Tony Metger,"{'Adrian Hutter': 1, 'Frédéric Dupuis': 1}"
Omar Fawzi,"{'In Protocol': 1, 'Adrian Hutter': 1, 'Frédéric Dupuis': 1}"
David Sutter,"{'In Protocol': 1, 'Adrian Hutter': 1, 'Frédéric Dupuis': 1}"
Renato Renner,"{'In Protocol': 1, 'Adrian Hutter': 1, 'Frédéric Dupuis': 1}"
Alexander Kugele,"{'Gao Huang': 1, 'Yujie Wu': 1, 'Ajinkya Jayawant': 1, 'Zhongcong Xu': 1, 'Johannes Schemmel': 1, 'SioHoi Ieng': 1, 'Thomas Pfeil': 1, 'Brian Taba': 1, 'Menglong Zhu': 1, 'Mohammad Ganjtabesh': 1, 'Karen Simonyan': 1, 'Manuel OrnelasRodriguez': 1, 'Marcel Stimberg': 1, 'Alexander Kugele': 1, 'Wei Liu': 1, 'Garrick Orchard': 1, 'Yujia Li': 1, 'IuliaAlexandra Lungu': 1, 'Thomas Barbier': 1, 'Abhronil Sengupta': 1, 'Hesham Mostafa': 1, 'Daniel Neil': 1, 'See Table': 1, 'Daniel Gehrig': 1, 'Drew Linsley': 1, 'Friedemann Zenke': 1, 'Etienne Perot': 1, 'Davide Falanga': 1, 'Rene Ranftl': 1, 'Romain Brette': 1, 'Ning Qiao': 1, 'Wulfram Gerstner': 1, 'Manuele Brambilla': 1, 'Dekai Zhu': 1, 'Tobi Delbruck': 1, 'Henri Rebecq': 1, 'Mathias Gehrig': 1, 'Nitin Rathi': 1, 'Kevin Kleber': 1, 'Simon Davidson': 1, 'Amos Sironi': 1, 'Yuting Ye': 1, 'Dragomir Anguelov': 1, 'German Barrionuevo': 1, 'Chankyu Lee': 1, 'Zhuang Liu': 1, 'Benjamin Cramer': 1, 'Wenjie Luo': 1, 'JeanMatthieu Maro': 1, 'Jyotibdha Acharya': 1, 'ShihChii Liu': 1, 'Curran Associates': 1, 'Lei Deng': 1, 'Guillermo Gallego': 1, 'Bodo Rueckauer': 1, 'Céline Teulière': 1, 'Antonio Loquercio': 1, 'Fredrik Sandin': 1, 'Sebastian Billaudelle': 1, 'Daniel Brüderle': 1}"
David Joedicke,"{'Gatewood LC': 1, 'Boris Freydin': 1, 'Razvan Bunescu': 1, 'Ami Radunskaya': 1, 'Inna Chervoneva': 1, 'Trachette Jackson': 1}"
AND JASON,"{'Probabilistic Math': 1, 'Harry Buhrman': 1, 'Peter Gacs': 1, 'Sons Inc': 1, 'Rupert Holzl': 1, 'Mathieu Hoyrup': 1, 'Carnegie Mellon': 1, 'Let Fm': 1, 'By Lemma': 1, 'Daniel Revuz': 1, 'Klaus Weihrauch': 1, 'Laurent Bienvenu': 1}"
Virgina Ard,"{'Pierre Fraigniaud': 1, 'Shay Kutten': 1, 'Louis Esperet': 1, 'Keren CensorHillel': 1, 'Lelia Blin': 1, 'Pierluigi Crescenzi': 1, 'Yehuda Afek': 1, 'Rotem Oshman': 1, 'Mor Perry': 1, 'Orr Fischer': 1, 'Pedro Montealegre': 1, 'Yannic Maus': 1, 'Marc Heinrich': 1, 'Nicolas Bousquet': 1, 'Laurent Feuilloley': 1, 'Mika Goos': 1, 'Leonid Barenboim': 1, 'Rafail Ostrovsky': 1, 'Let Si': 1, 'Amos Korman': 1, 'Ami Paz': 1, 'Moni Naor': 1}"
