Name（当前作者）,Value（该作者引用过的作者及引用次数）
Akash Nag,"{'Warwick Ford': 1, 'Peter Hanacek': 1, 'Joan Daemen': 1, 'Abhishek Roy': 1, 'Jonathan Fildes': 1, 'Anne Canteaut': 1, 'Bruce Schneier': 1, 'Kamil Malinka': 1}"
Sunil Karforma,"{'Warwick Ford': 1, 'Peter Hanacek': 1, 'Joan Daemen': 1, 'Abhishek Roy': 1, 'Jonathan Fildes': 1, 'Anne Canteaut': 1, 'Bruce Schneier': 1, 'Kamil Malinka': 1}"
David Asatryan,"{'BN Chatterji': 1, 'AB Watson': 1, 'GR Arce': 1, 'MT Freedman': 1, 'MN Miyatake': 1, 'MI Lotfy': 1, 'RA Sadek': 1, 'YP Lin': 1, 'SCB Lo': 1, 'YM Yeung': 1, 'CG Boncelet': 1, 'HJM Wang': 1, 'SE ElKhamy': 1, 'PK Biswas': 1, 'XG Xia': 1, 'HW Wong': 1, 'GY Yang': 1, 'MS Hsieh': 1, 'KT Lo': 1, 'XD Zhang': 1, 'CCJ Kuo': 1, 'JA Solomon': 1, 'HMP Meana': 1, 'PC Su': 1}"
Nasser SahebDjahromi,{'JM Robson': 1}
Akka Zemmari,{'JM Robson': 1}
Epistemic Actions,"{'Intuitionistic EAK': 1, 'BA Davey': 1}"
Saida Bouakaz,"{'JoungYoun Kim': 1, 'Jamshid Shanbezadeh': 1, 'LeeSup Kim': 1, 'RS Feris': 1, 'Mohammad Shorif': 1, 'LiMinn Ang': 1, 'Mansour Asadifard': 1, 'Saida Bouakaz': 1}"
Arindam Kar,"{'Tapas Kanungo': 1, 'Xiaohui Chen': 1, 'Face Recognition': 2, 'AK Das': 1}"
Debotosh Bhattacharjee,"{'Tapas Kanungo': 1, 'Xiaohui Chen': 1, 'Face Recognition': 2, 'AK Das': 1}"
Mita Nasipuri,"{'Tapas Kanungo': 1, 'Xiaohui Chen': 1, 'Face Recognition': 2, 'AK Das': 1}"
Mahantapas Kundu,"{'Tapas Kanungo': 1, 'Xiaohui Chen': 1, 'Face Recognition': 2, 'AK Das': 1}"
Czech Republic,"{'Argonne National': 1, 'Peter Cotton': 1, 'Debby Cotton': 1, 'Teo Susnjak': 1, 'Mingyu Zong': 1, 'Steven Moore': 1, 'Michael Bommarito': 1, 'Tamara Tate': 1, 'Shayan Doroudi': 1, 'Caroline Hardin': 1, 'Alexander Brooks': 1, 'Andreas Birk': 1, 'Siqu Long': 1, 'Miroslav Kulich': 1, 'NXP Semiconductors': 1, 'Jan Chudoba': 1, 'Hyunsuk Chung': 1, 'Evelina Dineva': 1, 'Yacob Astatke': 1, 'Vega Compass': 1, 'Graph Types': 1}"
Vivek Narayanan,"{'Dale Schuurmans': 1, 'Lillian Lee': 1, 'Yi Zhang': 1, 'Shlomo Argamon': 1, 'Khurshid Ahmad': 1, 'Shivakumar Vaithyanathan': 1, 'Vikas Sindhwani': 1, 'Mike Chen': 1, 'Diana Inkpen': 1, 'Dan Klein': 1, 'Navendu Garg': 1}"
Ishan Arora,"{'Dale Schuurmans': 1, 'Lillian Lee': 1, 'Yi Zhang': 1, 'Shlomo Argamon': 1, 'Khurshid Ahmad': 1, 'Shivakumar Vaithyanathan': 1, 'Vikas Sindhwani': 1, 'Mike Chen': 1, 'Diana Inkpen': 1, 'Dan Klein': 1, 'Navendu Garg': 1}"
Arjun Bhatia,"{'Dale Schuurmans': 1, 'Lillian Lee': 1, 'Yi Zhang': 1, 'Shlomo Argamon': 1, 'Khurshid Ahmad': 1, 'Shivakumar Vaithyanathan': 1, 'Vikas Sindhwani': 1, 'Mike Chen': 1, 'Diana Inkpen': 1, 'Dan Klein': 1, 'Navendu Garg': 1}"
Mohammadreza Keyvanpour,"{'DS Modha': 1, 'Linlin Li': 1, 'Shijian Lu': 1, 'KSparck Jones': 1, 'Shuyong Bai': 1, 'Razvan Andonie': 1, 'Angel Cataron': 1, 'Yue Lu': 1, 'WS Spangler': 1, 'David Doermann': 1}"
MARCIN JURDZI,"{'By Corollary': 1, 'Concluding Remarks': 1, 'MultiWeighted Games': 1, 'Perfect HalfSpaces': 1}"
RANKO LAZI,"{'By Corollary': 1, 'Concluding Remarks': 1, 'MultiWeighted Games': 1, 'Perfect HalfSpaces': 1}"
Meryem Kassou,"{'MT Siponen': 1, 'JA Estefan': 1, 'VR Basili': 1, 'OASIS Standard': 1, 'Developing Goals': 1, 'JJ Moreau': 1, 'Common Vulne': 1, 'GQM Paradigm': 1, 'HD Rombach': 1}"
Laila Kjiri,"{'MT Siponen': 1, 'JA Estefan': 1, 'VR Basili': 1, 'OASIS Standard': 1, 'Developing Goals': 1, 'JJ Moreau': 1, 'Common Vulne': 1, 'GQM Paradigm': 1, 'HD Rombach': 1}"
Submitted May,"{'Assia Mahboubi': 1, 'Robbert Krebbers': 1, 'Matthieu Sozeau': 1, 'Gilles Barthe': 1, 'Program Development': 1, 'Michel Coste': 1, 'Jack Bochnak': 1, 'Clemens Ballarin': 1, 'Cyril Cohen': 1, 'Yves Bertot': 1, 'Georges Gonthier': 1, 'Francois Garillot': 1, 'Richard Pollack': 1, 'Saugata Basu': 1, 'Frederique Guilhot': 1, 'Venanzio Capretta': 1, 'Helmut Bender': 1, 'Bas Spitters': 1, 'Formalizing Logic': 1, 'Helmut Veith': 1, 'Tobias Nipkow': 1, 'Sean McLaughlin': 1}"
As Brinkmann,"{'By Proposition': 1, 'Zs Langi': 1, 'PT Bremer': 1}"
Alessandro Sperduti,"{'JY Cai': 1, 'JP Vert': 1, 'Tree Matching': 1}"
Jeremy Kepner,"{'DA Bader': 1,}"
David Bader,{'DA Bader': 1}
The Laplacian,"{'TD Morley': 1, 'Chris Godsil': 1, 'Gordon Royle': 1, 'Erich Prisner': 1, 'GianCarlo Rota': 1}"
Poulami Majumder,{'Ji Chanin': 1}
Nils Meyer,{'DJ Martinez': 1}
Manfred Ries,{'DJ Martinez': 1}
Stefan Solbrig,{'DJ Martinez': 1}
Tilo Wettig,{'DJ Martinez': 1}
Nandan Mirajkar,"{'Timothy Grance': 1, 'Peter Mell': 1, 'Kiran Murari': 1, 'Paul Hoffman': 1, 'Karen Scarfone': 1}"
Mohan Barde,"{'Timothy Grance': 1, 'Peter Mell': 1, 'Kiran Murari': 1, 'Paul Hoffman': 1, 'Karen Scarfone': 1}"
Harshal Kamble,"{'Timothy Grance': 1, 'Peter Mell': 1, 'Kiran Murari': 1, 'Paul Hoffman': 1, 'Karen Scarfone': 1}"
Rahul Athale,"{'Timothy Grance': 1, 'Peter Mell': 1, 'Kiran Murari': 1, 'Paul Hoffman': 1, 'Karen Scarfone': 1}"
Kumud Singh,"{'Timothy Grance': 1, 'Peter Mell': 1, 'Kiran Murari': 1, 'Paul Hoffman': 1, 'Karen Scarfone': 1}"
Brijender Kahanwal,"{'Login Display': 1, 'Brijender Kahanwal': 1}"
Instituto Superior,{'ChunTing Zhang': 1}
EPI FOCUS,"{'JY Girard': 1, 'Symbolic Computation': 1}"
Song Luo,"{'Vipul Goyal': 1, 'Omkant Pandey': 1, 'EJ Goh': 1, 'Amos Beimel': 1, 'Song Luo': 1, 'Brent Waters': 1, 'Zhong Chen': 1, 'Matthew Green': 1, 'Jianbin Hu': 1, 'Susan Hohenberger': 1}"
