Name（当前作者）,Value（该作者引用过的作者及引用次数）
Saudi Arabia,"{'Xiaoli Li': 1, 'Ivica Draganjac': 1, 'Jacky Baltes': 1, 'Alan Mutka': 1, 'Andrew Thomson': 1, 'Damjan Miklic': 1, 'ISO Standard': 1, 'David Claus': 1, 'Stjepan Bogdan': 1, 'Integration Actually': 1, 'Stuart Haber': 1, 'Tanweer Alam': 1}"
THORSTEN ALTENKIRCH,{'PA Mellies': 1}
JAMES CHAPMAN,{'PA Mellies': 1}
Harbi AlMahafzah,"{'SK Singh': 1, 'Karthik Nandakumar': 1, 'David Zhang': 1, 'Zhou DeLong': 1, 'Zhuang DeWen': 1, 'Andrew Teoh': 1, 'Arun Ross': 1, 'Tobias Scheidat': 1, 'AK Jain': 1, 'PJ Flynn': 1, 'Lei Zhang': 1, 'Rohin Govindarajanb': 1, 'TC Faltemier': 1, 'KW Bowyer': 1, 'Lin Zhang': 1, 'Hailong Zhu': 1, 'Claus Vielhauer': 1, 'Jana Dittmann': 1}"
Mohammad Imran,"{'SK Singh': 1, 'Karthik Nandakumar': 1, 'David Zhang': 1, 'Zhou DeLong': 1, 'Zhuang DeWen': 1, 'Andrew Teoh': 1, 'Arun Ross': 1, 'Tobias Scheidat': 1, 'AK Jain': 1, 'PJ Flynn': 1, 'Lei Zhang': 1, 'Rohin Govindarajanb': 1, 'TC Faltemier': 1, 'KW Bowyer': 1, 'Lin Zhang': 1, 'Hailong Zhu': 1, 'Claus Vielhauer': 1, 'Jana Dittmann': 1}"
Ecole Polytechnique,"{'Subject Expansion': 1, 'Adequacy Lemma': 1, 'Eindhoven Univ': 1, 'JW Klop': 1, 'Marcel Dekker': 1, 'JH Wu': 1, 'Dal Lago': 1, 'Sacerdoti Coen': 1, 'Schloss Dagstuhl': 1, 'Alexandre Marechal': 1, 'Daniel Graca': 1}"
INGO BATTENFELD,"{'Matthias Schroder': 1, 'Regina Tix': 1, 'Samson Abramsky': 1, 'Gerhard Gierz': 1, 'Martin Hyland': 1, 'Ingo Battenfeld': 1, 'Klaus Keimel': 1}"
KLAUS KEIMEL,"{'Matthias Schroder': 1, 'Regina Tix': 1, 'Samson Abramsky': 1, 'Gerhard Gierz': 1, 'Martin Hyland': 1, 'Ingo Battenfeld': 1, 'Klaus Keimel': 1}"
NATHALIE BERTRAND,"{'Arnaud Sangnier': 1, 'Jannis Uhlendorf': 1, 'Hugo Gimbert': 1, 'Blaise Genest': 1, 'Parosh Abdulla': 1, 'Panagiotis Kouvaros': 1, 'Javier Esparza': 1, 'Sanjay Jain': 1, 'Alain Finkel': 1, 'Marcin Jurdzinski': 1, 'Ranko Lazic': 1, 'Tomas Brazdil': 1, 'Pierre Ganty': 1, 'Aymeric Vincent': 1, 'Paulin Fournier': 1, 'James Aspnes': 1, 'Laurent Doyen': 1, 'Nathalie Bertrand': 1, 'Dana Angluin': 1, 'Michael Blondin': 1, 'Thierry Massart': 1, 'Agnes Miermont': 1}"
THOMAS BRIHAYE,"{ 'Veronique Bruyere': 1, 'Joachim Klein': 1, 'Mauricio Gonzalez': 1}"
ERONIQUE BRUY,{'Veronique Bruyere': 1}
Marie Albenque,{'Ph Chassaing': 1}
Lucas Gerin,{'Ph Chassaing': 1}
ALTI Adel,"{'JP Bodeveix': 1, 'JM Barnes': 1}"
ROOSE Phillipe,"{'JP Bodeveix': 1, 'JM Barnes': 1}"
ANDREA ASPERTI,"{'Martin Sulzmann': 1, 'Peter Dybjer': 1, 'Ana Bove': 1, 'Andrea Asperti': 1, 'Francois Garillot': 1, 'Wilmer Ricciotti': 1, 'Georges Gonthier': 1, 'Matthieu Sozeau': 1, 'Thierry Coquand': 1}"
WILMER RICCIOTTI,"{'Martin Sulzmann': 1, 'Peter Dybjer': 1, 'Ana Bove': 1, 'Andrea Asperti': 1, 'Francois Garillot': 1, 'Wilmer Ricciotti': 1, 'Georges Gonthier': 1, 'Matthieu Sozeau': 1, 'Thierry Coquand': 1}"
MARTIN HILS,{'Ben Yaacov': 1}
Russell Bradford,"{'GE Collins': 2, 'JT Schwartz': 2, 'DJ Wilson': 1, 'CW Brown': 2, 'JH Davenport': 2, 'RJ Bradford': 2, 'GO Passmore': 1, 'IA Fotiou': 1, 'PA Parrilo': 1}"
David Wilson,"{'GE Collins': 1, 'JT Schwartz': 1, 'DJ Wilson': 1, 'CW Brown': 1, 'JH Davenport': 1, 'RJ Bradford': 1, 'GO Passmore': 1}"
Reza Azad,"{'WJ Kuo': 1, 'CY Fang': 1, 'CJ Lin': 1, 'CC Lin': 1, 'HR Shayegh': 2, 'SW Chen': 1, 'CS Fuh': 1, 'Digital Image': 1, 'MH Yang': 1, 'Ch KwangTing': 1, 'WB Larbi': 1, 'RL Hsu': 1, 'SL Phung': 1, 'AK Jain': 1, 'MA Akhloufi': 1}"
Babak Azad,"{'WJ Kuo': 1, 'CY Fang': 1, 'CJ Lin': 1, 'CC Lin': 1, 'HR Shayegh': 1, 'SW Chen': 1, 'CS Fuh': 1, 'Digital Image': 1}"
Moiz Qyser,"{'Ruben PrietoDiaz': 1, 'MK McKusick': 1, 'PB Kessler': 1, 'KC Wallnau': 1, 'Wang Ling': 1, 'SL Graham': 1}"
Fatemeh Alamdar,"{'GJ Lu': 1, 'JZ Wang': 1, 'TS Huang': 1}"
MohammadReza Keyvanpour,"{'GJ Lu': 1, 'JZ Wang': 1, 'TS Huang': 1}"
Saida Aissi,"{'TM Khoshgoftaar': 1, 'RH Gting': 1, 'Bédard Yvan': 1, 'Octavio Glorio': 1, 'WH Inmon': 1, 'Juan Trujillo': 1}"
LUC SEGOUFIN,"{'Michael Benedikt': 1, 'Robert McNaughton': 1, 'Logic History': 1, 'Thomas Place': 1, 'Paul Erdos': 1, 'Howard Straubing': 1}"
ADRIANA BALAN,"{'By Corollary': 1, 'Enriched Categories': 1, 'Category Seminar': 1, 'Addison Wesley': 1, 'Marcel Dekker': 1, 'Set Vcat': 1}"
ALEXANDER KURZ,"{'By Corollary': 1, 'HH Hansen': 1, 'WJ Fokkink': 1, 'SL Bloom': 1, 'Continuing Example': 1, 'MM Bonsangue': 1, 'Vrije Uni': 1, 'Algebraic Programming': 1, 'MR Mousavi': 1, 'Enriched Categories': 1, 'Category Seminar': 1, 'Addison Wesley': 1, 'Marcel Dekker': 1, 'Set Vcat': 1}"
New Zealand,"{'SA Naimpally': 1, 'Math Phys': 1, 'DS Bridges': 1, 'AS Troelstra': 1, 'EA Bishop': 1}"
Jaouad Boutahar,"{'MariePierre Dubuisson': 1, 'De Bruijn': 1, 'Christiane Fellbaum': 1}"
Taoufik Rachad,"{'MariePierre Dubuisson': 1, 'De Bruijn': 1, 'Christiane Fellbaum': 1}"
Khadija BENAIJA,"{'KA Artto': 1, 'CP Killen': 1, 'MJ Sheykh': 1, 'SJ Mantel': 1, 'JR Meredith': 1, 'HA Levine': 1, 'BS Blichfeldt': 1, 'JK Crawford': 1, 'DZ Milosevic': 1, 'GI Kendall': 1, 'RA Hunt': 1, 'Portfolio Management': 1, 'SC Rollins': 1}"
Laila KJIRI,"{'KA Artto': 1, 'CP Killen': 1, 'MJ Sheykh': 1, 'SJ Mantel': 1, 'JR Meredith': 1, 'HA Levine': 1, 'BS Blichfeldt': 1, 'JK Crawford': 1, 'DZ Milosevic': 1, 'GI Kendall': 1, 'RA Hunt': 1, 'Portfolio Management': 1, 'SC Rollins': 1}"
ROBERTO BRUTTOMESSO,"{'Quantifierfree Interpolation': 1, 'Alessandro Armando': 1, 'Roberto Bruttomesso': 1, 'Silvio Ghilardi': 1, 'Silvio Ranise': 1}"
SILVIO GHILARDI,"{'Quantifierfree Interpolation': 1, 'Alessandro Armando': 1, 'Roberto Bruttomesso': 1, 'Silvio Ghilardi': 1, 'Silvio Ranise': 1}"
Viale Mor,"{'MS Alvim': 1, 'Comparing Adaptive': 1, 'Tech Rep': 1, 'MD Ford': 1, 'ME Andrés': 1, 'Maximum Leakage': 1}"
PAOLA BRUSCOLI,"{'Atomic Flows': 1, 'Final Comments': 1, 'In Figure': 1, 'Threshold Formulae': 1, 'Alessio Guglielmi': 1}"
ALESSIO GUGLIELMI,"{'Atomic Flows': 1, 'Final Comments': 1, 'In Figure': 1, 'Threshold Formulae': 1, 'Alessio Guglielmi': 1}"
TOM GUNDERSEN,"{'Atomic Flows': 1, 'Final Comments': 1, 'In Figure': 1, 'Threshold Formulae': 1, 'Alessio Guglielmi': 1}"
GEORG GOTTLOB,"{'AK Chandra': 1, 'CEUR Elec': 1, 'TU Darmstadt': 1, 'Ph Kolaitis': 1}"
MINGZHONG CAI,"{'Ming Li': 1, 'Eric Allender': 1, 'Harry Buhrman': 1}"
RACHEL EPSTEIN,"{'Ming Li': 1, 'Eric Allender': 1, 'Harry Buhrman': 1}"
EMI BONNET,"{'TW Reps': 1, 'Patterns AddisonWesley': 1, 'SS Owicki': 1}"
ROHIT CHADHA,"{'TW Reps': 1, 'Patterns AddisonWesley': 1, 'SS Owicki': 1}"
ROBERT ATKEY,"{'HS Ko': 1, 'PE Dagand': 1, 'Algebraic Programming': 1, 'SC Mu': 1, 'TR Chuang': 1, 'Partial Refinement': 1, 'Inductive Types': 1}"
PATRICIA JOHANN,"{'HS Ko': 1, 'PE Dagand': 1, 'Algebraic Programming': 1, 'SC Mu': 1, 'TR Chuang': 1, 'Partial Refinement': 1, 'Inductive Types': 1}"
ALBERT ATSERIAS,"{'Nada Lavrac': 1, 'Liqiang Geng': 1, 'Aaron Ceglar': 1, 'Heikki Mannila': 1, 'Rina Dechter': 1, 'If WZ': 1, 'Marta Arias': 1, 'Kotagiri Ramamohanarao': 1, 'Michael Frazier': 1, 'James Hawthorne': 1, 'Bernhard Ganter': 1, 'Albert Atserias': 1, 'Tomasz Imielinski': 1, 'Petr Hajek': 1, 'Rakesh Agrawal': 1, 'Dana Angluin': 1, 'XY XYXkYk': 1}"
Ali KHALFALLAH,"{'MS Bouhlel': 1, 'SS Maniccam': 1, 'XB Wang': 1, 'XF Liao': 1, 'NG Bourbakis': 1, 'LH Zhang': 1}"
Faouzi Benzarti,"{'HR Sheikh': 1, 'Tony Chan': 1, 'Jooyoung Hahn': 1, 'XueCheng Tai': 1, 'Xiaogang Jin': 1, 'AC Bovik': 1, 'Jianbing Shen': 1, 'Raymond Chan': 1, 'EP Simoncelli': 1, 'Kaun DT': 1, 'Suresh GR': 1, 'Frost VS': 1, 'Bamber JC': 1, 'Michailovich OV': 1, 'Stiles JA': 1, 'Taya PC': 1, 'Bovik AC': 1, 'Authors Biographies': 1, 'Abbott JG': 1, 'Anil AR': 1}"
Hamid Amiri,"{'HR Sheikh': 1, 'Tony Chan': 1, 'Jooyoung Hahn': 1, 'XueCheng Tai': 1, 'Xiaogang Jin': 1, 'AC Bovik': 1, 'Jianbing Shen': 1, 'Raymond Chan': 1, 'EP Simoncelli': 1, 'Kaun DT': 1, 'Suresh GR': 1, 'Frost VS': 1, 'Bamber JC': 1, 'Michailovich OV': 1, 'Stiles JA': 1, 'Taya PC': 1, 'Bovik AC': 1, 'Authors Biographies': 1, 'Abbott JG': 1, 'Anil AR': 1}"
MARCO BERNARDO,"{'Placing Trace': 1, 'SD Brookes': 1, 'CAR Hoare': 1, 'CC Jou': 1, 'KG Larsen': 1, 'NA Lynch': 1, 'SA Smolka': 1}"
Reza Zamani,{'DW Cranston': 1}
EndtoEnd Communication,{'Codeword Parcelp': 1}
Reza Ravanmehr,"{'ND Blas': 1, 'RE Woods': 1, 'MK Badini': 1, 'RC Gonzalez': 1, 'Introducing Bespin': 1, 'DD Feng': 1}"
Fatema Akhter,{'El Safy': 1}
SAM BUSS,"{'Douglas Cenzer': 1, 'RG Downey': 1, 'Marcel Dekker': 1}"
DOUGLAS CENZER,"{'Douglas Cenzer': 1, 'RG Downey': 1, 'Marcel Dekker': 1}"
AND JEFFREY,"{'Douglas Cenzer': 1, 'RG Downey': 1, 'Marcel Dekker': 1}"
Khalifa Toumi,{'JM Orset': 1}
Ana Cavalli,{'JM Orset': 1}
JEANPIERRE JOUANNAUD,"{'Lousiana Technical': 1, 'JY Girard': 1, 'Université Paris': 1, 'JP Jouannaud': 1, 'Utrecht Universiteit': 1}"
Harry Buhrman,"{'Peter Frankl': 1, 'HoiKwan Lau': 1, 'Joshua Brody': 1, 'Stefan Brands': 1, 'Shiteng Chen': 1, 'Oded Margalit': 1, 'Naveen Sastry': 1, 'Benny Chor': 1, 'Nishanth Chandran': 1, 'Srdjan Capkun': 1, 'Harry Buhrman': 1, 'Vipul Goyal': 1, 'Satoshi Ishizaka': 1, 'Laszlo Babai': 1, 'Umesh Shankar': 1, 'Serge Fehr': 1, 'If Rn': 1}"
Serge Fehr,"{'Peter Frankl': 1, 'HoiKwan Lau': 1, 'Joshua Brody': 1, 'Stefan Brands': 1, 'Shiteng Chen': 1, 'Oded Margalit': 1, 'Naveen Sastry': 1, 'Benny Chor': 1, 'Nishanth Chandran': 1, 'Srdjan Capkun': 1, 'Harry Buhrman': 1, 'Vipul Goyal': 1, 'Satoshi Ishizaka': 1, 'Laszlo Babai': 1, 'Umesh Shankar': 1, 'Serge Fehr': 1}"
Florian Speelman,"{'Peter Frankl': 1, 'HoiKwan Lau': 1, 'Joshua Brody': 1, 'Stefan Brands': 1, 'Shiteng Chen': 1, 'Oded Margalit': 1, 'Naveen Sastry': 1, 'Benny Chor': 1, 'Nishanth Chandran': 1, 'Srdjan Capkun': 1, 'Harry Buhrman': 1, 'Vipul Goyal': 1, 'Satoshi Ishizaka': 1, 'Laszlo Babai': 1, 'Umesh Shankar': 1, 'Serge Fehr': 1}"
Liane Gabora,{'Lambert Mogiliansky': 1}
Arash Ahadia,"{'MohammadReza Sadeghi': 1, 'Tomasz Bartnicki': 1, 'DingZhu Du': 1, 'Ali Dehghan': 1, 'Jennifer Diemunsch': 1, 'Futaba Okamoto': 1, 'Javier Marenco': 1, 'MR Sadeghi': 1, 'Gary Chartrand': 1, 'KerK Ko': 1, 'Maciej Kalkowski': 1, 'Sebastian Czerwinski': 1, 'Marcelo Mydlarz': 1, 'Axel Brandt': 1}"
Ali Dehghanb,"{'MohammadReza Sadeghi': 1, 'Tomasz Bartnicki': 1, 'DingZhu Du': 1, 'Ali Dehghan': 1, 'Jennifer Diemunsch': 1, 'Futaba Okamoto': 1, 'Javier Marenco': 1, 'MR Sadeghi': 1, 'Gary Chartrand': 1, 'KerK Ko': 1, 'Maciej Kalkowski': 1, 'Sebastian Czerwinski': 1, 'Marcelo Mydlarz': 1, 'Axel Brandt': 1}"
Bergh Equation,{'LexiFi Structuring': 1}
Mehrez Boulares,"{'Educational Resources': 1, 'Algorithm ProximitySearch': 1}"
Mohamed Jemni,"{'Educational Resources': 1, 'Algorithm ProximitySearch': 1}"
Sodeif Ahadpour,"{'RL Rivest': 1, 'KW Wong': 1, 'LS Tsimring': 1, 'WH Chang': 1, 'NR Rema': 1, 'MA Jafarizadeh': 1, 'AL Ferrara': 1, 'AD SanJs': 1, 'ShM Guo': 1}"
Yaser Sadra,"{'RL Rivest': 1, 'KW Wong': 1, 'LS Tsimring': 1, 'WH Chang': 1, 'NR Rema': 1, 'MA Jafarizadeh': 1, 'AL Ferrara': 1, 'AD SanJs': 1, 'ShM Guo': 1}"
Zahra ArastehFard,"{'RL Rivest': 1, 'KW Wong': 1, 'LS Tsimring': 1}"
Am Fallturm,"{'Computer Sci': 1, 'Concluding Discussion': 1, 'Symbolic Computation': 1, 'Deriving Guards': 1, 'Array Indices': 1, 'Prentice Hall': 1, 'Contributions Overall': 1}"
Changbo Chen,"{'GE Collins': 1, 'JT Schwartz': 1, 'CW Brown': 1, 'JH Davenport': 1, 'RJ Bradford': 1, 'IA Fotiou': 1, 'PA Parrilo': 1}"
Singularity OS,"{'Lorenzo Bettini': 1, 'Galen Hunt': 1, 'Etienne Lozes': 1, 'James Larus': 1, 'Zachary Stengel': 1, 'Marco Giunti': 1, 'Mariangiola DezaniCiancaglini': 1, 'Mark Aiken': 1, 'Simon Gay': 1, 'Kohei Honda': 1, 'Jules Villard': 1, 'Chiara Messa': 1, 'Manuel Fahndrich': 1, 'Simone Martini': 1, 'Luca Cardelli': 1, 'Dario Colazzo': 1}"
SIVA ANANTHARAMAN,"{'JM Hullot': 1, 'JP Jouannaud': 1, 'HP Ko': 1, 'DA Wolfram': 1}"
CHRISTOPHER BOUCHARD,"{'JM Hullot': 1, 'JP Jouannaud': 1, 'HP Ko': 1, 'DA Wolfram': 1}"
PALIATH NARENDRAN,"{'JM Hullot': 1, 'JP Jouannaud': 1, 'HP Ko': 1, 'DA Wolfram': 1}"
Universidad Sim,"{'Basic Facts': 1, 'FirstOrder Queries': 1, 'Main Result': 1}"
Image Fusion,"{'TY Wang': 1, 'NV Kalyankar': 1, 'AA AlZuky': 1, 'NV Kalyank': 1, 'Jingying Fu': 1, 'Local Mean': 1, 'FUSED IMAGES': 1, 'International Confere': 1, 'HH Blotevogel': 1, 'REN Horne': 1}"
Tyanko Aleksiev,"{'Ermir Qeli': 1, 'Julian Peters': 1, 'Christian Panse': 1, 'Tian Guo': 1, 'Riccardo Murri': 1, 'Upendra Sharma': 1, 'Thilo Muth': 1}"
Simon Barkow,"{'Ermir Qeli': 1, 'Julian Peters': 1, 'Christian Panse': 1, 'Tian Guo': 1, 'Riccardo Murri': 1, 'Upendra Sharma': 1, 'Thilo Muth': 1}"
Peter Kunszt,"{'Ermir Qeli': 1, 'Julian Peters': 1, 'Christian Panse': 1, 'Tian Guo': 1, 'Riccardo Murri': 1, 'Upendra Sharma': 1, 'Thilo Muth': 1}"
Dmitry Ageyev,"{'DV Ageyev': 2, 'VK Kovalchuk': 1}"
Alexander Pereverzev,"{'DV Ageyev': 1, 'VK Kovalchuk': 1}"
Bruijn Graphs,{'Berlin Heidelberg': 1}
DANEL AHMAN,"{'Dagstuhl Publishing': 1, 'Turku Centre': 1, 'Edizioni Cremonense': 1}"
New Delhi,"{'Dunns Index': 1, 'Repeat Steps': 1, 'Tsuyoshi Murata': 1, 'Kota Saito': 1, 'Karypis George': 1, 'Refinement Of': 1, 'Process Description': 1, 'Harita Mehta': 1, 'PM Khan': 1, 'TD Nguyen': 1, 'MA Gondal': 1, 'DR Rizvi': 1, 'BN Tran': 1, 'TD Tran': 1, 'DK Bui': 1, 'AD Duong': 1, 'MT Tran': 1}"
Mohaghegh Ardabili,"{'Chui CK': 1, 'Jafarizadeh MA': 1}"
MIKOLAJ BOJA,"{'Forest Algebras': 1, 'Sophie Tison': 1, 'Thomas Wilke': 1, 'Joelle Cohen': 1, 'Faron Moller': 1, 'Path Algebras': 1, 'Zoltan Esik': 1, 'Mikolaj Bojanczyk': 1, 'Formal Logic': 1, 'Pablo Barcelo': 1, 'Distributive Algebras': 1, 'Dominique Perrin': 1}"
