Name（当前作者）,Value（该作者引用过的作者及引用次数）
Diederik Aerts,"{'Measurement AB': 1, 'Van Rijsbergen': 2, 'Lambert Mogiliansky': 1}"
Sandro Sozzo,"{'Measurement AB': 1, 'Van Rijsbergen': 2, 'Lambert Mogiliansky': 1}"
Bhaskar Bhuyan,"{'Emad Felemban': 1, 'ChangGun Lee': 1}"
Nityananda Sarma,"{'Emad Felemban': 1, 'ChangGun Lee': 1}"
Amitabh Basu,"{'Robert Hildebrand': 1, 'Amitabh Basu': 1, 'Michele Conforti': 1, 'Gerard Cornuejols': 1}"
Robert Hildebrand,"{'Robert Hildebrand': 1, 'Amitabh Basu': 1, 'Michele Conforti': 1, 'Gerard Cornuejols': 1}"
MANUEL BODIRSKY,"{'Ben Yaacov': 1, 'Surajit Chaudhuri': 1, 'Michael Garey': 1, 'Cynthia Loten': 1, 'Stefan Kratsch': 1, 'Manuel Bodirsky': 1, 'Nikhil Bansal': 1, 'Meghyn Bienvenu': 1, 'Alexandra Meliou': 1, 'Caterina Viola': 1, 'Serge Abiteboul': 1, 'Antoine Mottet': 1, 'Vladimir Kolmogorov': 1, 'Andrei Krokhin': 2, 'Libor Barto': 1, 'Marcin Kozik': 1, 'Saharon Shelah': 1, 'Florent Madelaine': 1, 'Avrim Blum': 1, 'Gregory Cherlin': 1, 'Richard Hull': 1, 'Neha Makhija': 1, 'Marek Cygan': 1, 'Michael Pinsker': 1, 'Wolfgang Gatterbauer': 1, 'Cibele Freire': 1， 'Peter Fulla': 1, 'Diego Calvanese': 1, 'Henry Kautz': 1, 'Michael Kompatscher': 1}"
Multilayer Perceptron,"{'KM Mackenthun': 1, 'Ben Krose': 1, 'Alex Trier': 1, 'Jorge Reyes': 1, 'Hector Jorquera': 1, 'Patricio Pérez': 1, 'Wilfredo Palma': 1, 'Islam Faisal': 1, 'Oketola AA': 1}"
Generalized Feed,"{'KM Mackenthun': 1, 'Ben Krose': 1, 'Alex Trier': 1, 'Jorge Reyes': 1, 'Hector Jorquera': 1, 'Patricio Pérez': 1, 'Wilfredo Palma': 1, 'Islam Faisal': 1, 'Oketola AA': 1}"
Sohail Abidi,"{'Ahmed Helmy': 1, 'Fan Bai': 1, 'Imran Shafi': 1, 'GuntupalliLakshmikanthMr Gaiwak': 1, 'Rambir Joon': 1, 'Sohail Abid': 1, 'Shahab Khan': 1, 'EG Padilla': 1, 'Pierpaolo Bergamo': 1, 'AUTHORS PROFILES': 1}"
NATHAN BOWLER,{'La Jolla': 1}
SERGEY GONCHAROV,{'La Jolla': 1}
JAKUB BUL,{'Dejan Delic': 1}
DEJAN DELI,{'Dejan Delic': 1}
MARCEL JACKSON,{'Dejan Delic': 1}
Sambhunath Biswas,"{'PingSing Tsai': 1, 'Tanaya Mandal': 1, 'Shuicheng Yan': 1, 'Harry Wechsler': 1, 'Xiaoyang Tan': 1, 'Kourosh JafariKhouzani': 1, 'Zhen Lei': 1, 'Mubarak Shah': 1, 'Shengcai Liao': 1, 'Chengjun Liu': 1, 'Bill Triggs': 1, 'Haitao Guo': 1, 'Hamid SoltanianZadeh': 1, 'CSydney Burrus': 1}"
Amrita Biswas,"{'PingSing Tsai': 1, 'Tanaya Mandal': 1, 'Shuicheng Yan': 1, 'Harry Wechsler': 1, 'Xiaoyang Tan': 1, 'Kourosh JafariKhouzani': 1, 'Zhen Lei': 1, 'Mubarak Shah': 1, 'Shengcai Liao': 1, 'Chengjun Liu': 1, 'Bill Triggs': 1, 'Haitao Guo': 1, 'Hamid SoltanianZadeh': 1, 'CSydney Burrus': 1}"
Mark Giesbrecht,{'Joos Heintz': 1}
LARS BIRKEDAL,"{'Lars Birkedal': 1, 'PT Johnstone': 1, 'Schloss Dagstuhl': 1, 'PA Mellies': 1, 'MB Smyth': 1}"
JAN SCHWINGHAMMER,"{'Lars Birkedal': 1, 'PT Johnstone': 1, 'Schloss Dagstuhl': 1, 'PA Mellies': 1, 'MB Smyth': 1}"
Samson Abramsky,"{'JY Girard': 1, 'Lujo Bauer': 1, 'Michael Burrows': 1, 'Axel Legay': 1, 'Adam Bakewell': 1, 'Aleksandar Dimovski': 1, 'Anindya Banerjee': 1, 'Pasquale Malacaria': 1, 'Michael Mendler': 1, 'Deepak Garg': 1, 'Nikos Tzevelekos': 1, 'Natasha Alechina': 1, 'Patrick Baillot': 1, 'Matt Fairtlough': 1, 'Paola Maneggia': 1, 'Phokion Kolaitis': 1, 'Bob Coecke': 2, 'Georg Gottlob': 1, 'Hans Kamp': 1, 'Chinatsu Aone': 1, 'Rulan Mitkov': 1, 'Albert Visser': 1, 'Lucien Hardy': 1, 'Edward Grefenstette': 1, 'Ido Dagan': 1, 'Alon Itai': 1, 'Jim Lambek': 1, 'Martin Stokhof': 1, 'Jeroen Groenendijk': 1, 'Samson Abramsky': 2, 'Anaphora Resolution': 1, 'By Proposition': 1, 'Peter Heywood': 1, 'Stefan Milius': 1, 'Li Liu': 1, 'Ashley Montanaro': 1, 'RS Barbosa': 1, 'Richard Cleve': 1, 'Dirk Pattinson': 1, 'VB Scholz': 1, 'JM Estebaranz': 1, 'Daniel Reitzner': 1, 'Tomas Feder': 1, 'Adam Brandenburger': 1, 'Anuj Dawar': 1, 'Albert Atserias': 1, 'Business Media': 1}"
Radha Jagadeesan,"{'By Functional': 1, 'JY Girard': 1, 'Lujo Bauer': 1, 'Michael Burrows': 1, 'Axel Legay': 1, 'Adam Bakewell': 1, 'Inf Comput': 1, 'Aleksandar Dimovski': 1, 'Anindya Banerjee': 1, 'Pasquale Malacaria': 1, 'Michael Mendler': 1, 'Deepak Garg': 1, 'Nikos Tzevelekos': 1, 'Natasha Alechina': 1, 'Patrick Baillot': 1, 'Matt Fairtlough': 1, 'Paola Maneggia': 1}"
LAURENT BIENVENU,"{'Laurent Bienvenu': 1, 'Vladimir Uspensky': 1, 'Nikolai Vereshchagin': 1, 'Ming Li': 1, 'Peter Hertling': 1, 'Andrej Muchnik': 1, 'Sven Kohler': 1, 'Damien Desfontaines': 1, 'Cristian Calude': 1, 'Elena Calude': 1, 'Andre Nies': 1, 'Rodney Downey': 1}"
DAMIEN DESFONTAINES,"{'Laurent Bienvenu': 1, 'Vladimir Uspensky': 1, 'Nikolai Vereshchagin': 1, 'Ming Li': 1, 'Peter Hertling': 1, 'Andrej Muchnik': 1, 'Sven Kohler': 1, 'Damien Desfontaines': 1, 'Cristian Calude': 1, 'Elena Calude': 1, 'Andre Nies': 1, 'Rodney Downey': 1}"
Universidad Polit,{'Dongwon Lee': 1}
MASSIMO BARTOLETTI,"{'Kaihua Qin': 1, 'Massimo Bartoletti': 1}"
Jan Zizka,"{'BW Scotney': 1, 'Guangyu Pei': 1, 'Mohammad Masdari': 1, 'TsuWei Chen': 1, 'Shree Murthy': 1, 'YC Hu': 1, 'Moazam Bidaki': 1, 'Yi Mu': 1, 'Aleksi Penttinen': 1, 'GP Parr': 1, 'Mehdi Maleknasab': 1, 'Xiaonan Wang': 1}"
Hybridizing PSM,{'SM Soak': 1}
RSM Operator,{'SM Soak': 1}
Rimah Amami,"{'Lamel LF': 1, 'CC Chang': 1, 'Garofolo JS': 1, 'RE Schapire': 1, 'Davis SB': 1, 'ML Borrajo': 1}"
XH Amsterdam,{'He Jifeng': 1}
Mohammad Bazmara,"{'Duraskovic Ratomir': 1, 'Joksimovic Aleksandar': 1}"
Shahram Jafari,"{'Duraskovic Ratomir': 1, 'Joksimovic Aleksandar': 1}"
Fatemeh Pasand,"{'Duraskovic Ratomir': 1, 'Joksimovic Aleksandar': 1}"
Hamid Allouch,{'New Turbo': 1}
Idriss Chana,{'New Turbo': 1}
Mostafa Belkasmi,{'New Turbo': 1}
Jan Broekaert,"{'JA Typicality': 1, 'Van Rijsbergen': 1, 'Lambert Mogiliansky': 1}"
Tomas Veloz,"{'JA Typicality': 1, 'Van Rijsbergen': 1, 'Lambert Mogiliansky': 1}"
JOHANNES BORGSTR,"{'Measure Wiley': 1, 'Morgan Kaufmann': 1, 'Johannes Borgstrom': 1, 'Derived Judgments': 1, 'Code Examples': 1}"
MICHAEL GREENBERGc,"{'Measure Wiley': 1, 'Morgan Kaufmann': 1}"
JAMES MARGETSONd,"{'Measure Wiley': 1, 'Morgan Kaufmann': 1}"
Link Conflicts,"{'MA AlShabi': 1, 'DP Agrawal': 1, 'CC Fan': 1, 'TY Feng': 1, 'WJ Dally': 1, 'HJ Siegel': 1, 'EL Miller': 1, 'PK Bansal': 1, 'KS Kahlon': 1, 'LN Bhuyan': 1, 'SM Bataineh': 1, 'VK Sehgal': 1, 'LM Ni': 1, 'BY Allosl': 1, 'SM Bhandarkar': 1, 'JW Smith': 1, 'MA Oliver': 1, 'KK Cheema': 1, 'DS Chauhan': 1, 'HR Arabnia': 1, 'AK Katangur': 1}"
