Name（当前作者）,Value（该作者引用过的作者及引用次数）
Lung Segmentation,{'Van Ginneken': 1}
Bone Shadow,{'Van Ginneken': 1}
BENEDETTO INTRIGILA,"{'Mariangiola DezaniCiancaglini': 1, 'Bart Jacobs': 1, 'Flavien Breuvart': 1, 'Benedetto Intrigila': 1, 'Matt Brown': 1, 'Dexter Kozen': 1, 'Salles Conjecture': 1, 'Paula Severi': 1, 'Giulio Manzonetto': 1, 'Corrado Bohm': 1, 'Thomas GivenWilson': 1, 'Schloss Dagstuhl': 1, 'Stefania Lusin': 1, 'Gianluca Franco': 1, 'Damian Niwinski': 1, 'Addressing Machines': 1, 'Andrew Polonsky': 1}"
GIULIO MANZONETTO,"{'Mariangiola DezaniCiancaglini': 1, 'Bart Jacobs': 1, 'Flavien Breuvart': 1, 'Benedetto Intrigila': 1, 'Matt Brown': 1, 'Dexter Kozen': 1, 'Salles Conjecture': 1, 'Paula Severi': 1, 'Giulio Manzonetto': 1, 'Corrado Bohm': 1, 'Thomas GivenWilson': 1, 'Schloss Dagstuhl': 1, 'Stefania Lusin': 1, 'Gianluca Franco': 1, 'Damian Niwinski': 1, 'Addressing Machines': 1, 'Andrew Polonsky': 1}"
ROBIN HIRSCH,"{'Morgan Kaufmann': 2, 'Atom Structures': 2, 'Hui Wang': 2}"
MARCEL JACKSON,"{'Morgan Kaufmann': 2, 'Atom Structures': 2, 'Hui Wang': 2}"
Ali Dehghana,"{'Maciej Kalkowski': 2, 'David Wajc': 2, 'Andrzej Dudek': 2, 'Hamed Hatami': 2, 'KerK Ko': 2, 'Sebastian Czerwinski': 2, 'Joanna SkowronekKaziow': 2, 'Eric Bach': 2, 'MR Sadeghi': 2, 'MA Tahraoui': 2, 'DingZhu Du': 2, 'Futaba Okamoto': 2, 'Gary Chartrand': 2}"
MohammadReza Sadeghia,"{'Maciej Kalkowski': 2, 'David Wajc': 2, 'Andrzej Dudek': 2, 'Hamed Hatami': 2, 'KerK Ko': 2, 'Sebastian Czerwinski': 2, 'Joanna SkowronekKaziow': 2, 'Eric Bach': 2, 'MR Sadeghi': 2, 'MA Tahraoui': 2, 'DingZhu Du': 2, 'Futaba Okamoto': 2, 'Gary Chartrand': 2}"
Arash Ahadib,"{'Maciej Kalkowski': 2, 'David Wajc': 2, 'Andrzej Dudek': 2, 'Hamed Hatami': 2, 'KerK Ko': 2, 'Sebastian Czerwinski': 2, 'Joanna SkowronekKaziow': 2, 'Eric Bach': 2, 'MR Sadeghi': 2, 'MA Tahraoui': 2, 'DingZhu Du': 2, 'Futaba Okamoto': 2, 'Gary Chartrand': 2}"
Uniform Interpolation,"{'TA Henzinger': 1, 'Uniform Interpolation': 1, 'EA Emerson': 1, 'Instytut Matematyki': 1}"
Sergio Decherchi,"{'Corinna Cortes': 1, 'KERNEL KMEANS': 1, 'Yann LeCun': 1}"
Walter Rocchia,"{'Corinna Cortes': 1, 'KERNEL KMEANS': 1, 'Yann LeCun': 1}"
REINHARD PICHLER,{'Berlin Heidelberg': 1}
Elaheh Ghassabani,{'Abdollahi Azgomi': 1}
AARON STUMP,"{'JY Girard': 1, 'Linda Postniece': 1, 'Rajeev Gore': 1, 'Lus Pinto': 1, 'Brigitte Pientka': 1, 'Daisuke Kimura': 1, 'Karl Crary': 1, 'Daniel Mery': 1, 'Corrado Biasi': 1, 'Didier Galmiche': 1, 'Kohei Honda': 1, 'Peter Sewell': 1, 'Andreas Abel': 1}"
Sufian Hameed,"{'Sudhir Aggarwal': 1, 'Sonia Chiasson': 1, 'Robert Morris': 1, 'Matt Weir': 1, 'Collin Jackson': 1, 'Bruce Schneier': 1, 'Alain Forget': 1, 'USENIX Association': 1, 'Blake Ross': 1, 'Pietro Michiardi': 1, 'Ken Thompson': 1, 'William Cheswick': 1, 'Sufian Hameed': 1, 'Mohammad Mannan': 1, 'Matteo DellAmico': 1, 'Cormac Herley': 1}"
