Name（当前作者）,Value（该作者引用过的作者及引用次数）
Lamak Qaizar,"{'Sudhir Aggarwal': 1, 'Sonia Chiasson': 1, 'Robert Morris': 1, 'Matt Weir': 1, 'Collin Jackson': 1, 'Bruce Schneier': 1, 'Alain Forget': 1, 'USENIX Association': 1, 'Blake Ross': 1, 'Pietro Michiardi': 1, 'Ken Thompson': 1, 'William Cheswick': 1, 'Sufian Hameed': 1, 'Mohammad Mannan': 1, 'Matteo DellAmico': 1, 'Cormac Herley': 1}"
Shankar Khatri,"{'Sudhir Aggarwal': 1, 'Sonia Chiasson': 1, 'Robert Morris': 1, 'Matt Weir': 1, 'Collin Jackson': 1, 'Bruce Schneier': 1, 'Alain Forget': 1, 'USENIX Association': 1, 'Blake Ross': 1, 'Pietro Michiardi': 1, 'Ken Thompson': 1, 'William Cheswick': 1, 'Sufian Hameed': 1, 'Mohammad Mannan': 1, 'Matteo DellAmico': 1, 'Cormac Herley': 1}"
Mojtaba Komeili,"{'Harry Buhrman': 1, 'Andris Ambainis': 1, 'Nikolajs Nahimovs': 1, 'Mario Szegedy': 1, 'Ethan Bernstein': 1, 'Yimin Ge': 1, 'Renato Portugal': 1, 'Avatar Tulsi': 1, 'Frederic Magniez': 1, 'Aleksandrs Belovs': 1, 'Maris Ozols': 1, 'Catalin Dohotaru': 1, 'Artur Ekert': 1, 'Gilles Brassard': 1, 'Ashwin Nayak': 1, 'Hari Krovi': 1, 'Julia Kempe': 1, 'Richard Cleve': 1}"
HORATIU CIRSTEA,"{'Olivier Fissore': 1, 'Manuel Clavel': 1, 'Christian Sternagel': 1, 'Peter Borovansky': 1, 'Claude Kirchner': 1, 'JeanPierre Jouannaud': 1, 'Paul Brauner': 1, 'PierreEtienne Moreau': 1, 'Ralf Lammel': 1, 'Jose Meseguer': 1, 'Horatiu Cirstea': 1, 'Yves Lafont': 1, 'Isabelle Gnaedig': 1, 'Franz Baader': 1, 'JeanYves Girard': 1, 'In RTA': 1, 'Francisco Duran': 1, 'Rene Thiemann': 1, 'Markus Kaiser': 1, 'Nao Hirokawa': 1, 'Because TS': 1, 'Jorg Endrullis': 1, 'Emilie Balland': 1, 'John Wiley': 1, 'Grigore Rosu': 1, 'Christophe Ringeissen': 1, 'Beatriz Alarcon': 1, 'Raul Gutierrez': 1, 'Jurgen Giesl': 1, 'Eelco Visser': 1, 'Martin Korp': 1, 'Schloss Dagstuhl': 1, 'ZineelAbidine Benaissa': 1, 'Thomas Arts': 1, 'Carsten Fuhs': 1}"
LUC SEGOUFIN,"{'Wijsen KW': 1, 'From Proposition': 1, 'Serge Abiteboul': 1, 'Tomas Feder': 1, 'Alan Nash': 1, 'Richard Hull': 1, 'Diego Calvanese': 1}"
CYRIL COHEN,"{'Damien Pous': 1, 'JG Dumas': 1, 'GM Greuel': 1}"
Giona Casiraghi,"{'Martin Rosvall': 1, 'Justin Cranshaw': 1, 'Alex Arenas': 1, 'Antonios Garas': 1, 'Kartik Anand': 1, 'Nathan Eagle': 1, 'Jean Jacod': 1, 'Cyrus Shahabi': 1, 'Jie Tang': 1, 'Michael Szell': 1, 'Brian Karrer': 1, 'John Paisley': 1, 'Andrea Lancichinetti': 1, 'Mikko Kivel?': 1, 'Renaud Lambiotte': 1, 'Alessio Cardillo': 1, 'Pip Pattison': 1, 'Simi Wang': 1, 'Jennifer Neville': 1, 'Rongjing Xiang': 1, 'Alexandre Vidmer': 1, 'Michael Molloy': 1, 'Nicolas Wider': 1, 'Huy Pham': 1, 'Tiancheng Lou': 1, 'Giulio Cimini': 1, 'Ingo Scholtes': 1, 'Business Media': 1, 'Aaron Schein': 1, 'Valerio Gemmetto': 1, 'Yan Zhang': 1, 'Garry Robins': 1, 'Eran Toch': 1}"
Vahan Nanumyan,"{'Martin Rosvall': 1, 'Justin Cranshaw': 1, 'Alex Arenas': 1, 'Antonios Garas': 1, 'Kartik Anand': 1, 'Nathan Eagle': 1, 'Jean Jacod': 1, 'Cyrus Shahabi': 1, 'Jie Tang': 1, 'Michael Szell': 1, 'Brian Karrer': 1, 'John Paisley': 1, 'Andrea Lancichinetti': 1, 'Mikko Kivel?': 1, 'Renaud Lambiotte': 1, 'Alessio Cardillo': 1, 'Pip Pattison': 1, 'Simi Wang': 1, 'Jennifer Neville': 1, 'Rongjing Xiang': 1, 'Alexandre Vidmer': 1, 'Michael Molloy': 1, 'Nicolas Wider': 1, 'Huy Pham': 1, 'Tiancheng Lou': 1, 'Giulio Cimini': 1, 'Ingo Scholtes': 1, 'Business Media': 1, 'Aaron Schein': 1, 'Valerio Gemmetto': 1, 'Yan Zhang': 1, 'Garry Robins': 1, 'Eran Toch': 1}"
Ingo Scholtes,"{'Martin Rosvall': 1, 'Justin Cranshaw': 1, 'Alex Arenas': 1, 'Antonios Garas': 1, 'Kartik Anand': 1, 'Nathan Eagle': 1, 'Jean Jacod': 1, 'Cyrus Shahabi': 1, 'Jie Tang': 1, 'Michael Szell': 1, 'Brian Karrer': 1, 'John Paisley': 1, 'Andrea Lancichinetti': 1, 'Mikko Kivel?': 1, 'Renaud Lambiotte': 1, 'Alessio Cardillo': 1, 'Pip Pattison': 1, 'Simi Wang': 1, 'Jennifer Neville': 1, 'Rongjing Xiang': 1, 'Alexandre Vidmer': 1, 'Michael Molloy': 1, 'Nicolas Wider': 1, 'Huy Pham': 1, 'Tiancheng Lou': 1, 'Giulio Cimini': 1, 'Ingo Scholtes': 1, 'Business Media': 1, 'Aaron Schein': 1, 'Valerio Gemmetto': 1, 'Yan Zhang': 1, 'Garry Robins': 1, 'Eran Toch': 1}"
Frank Schweitzer,"{'Martin Rosvall': 1, 'Justin Cranshaw': 1, 'Alex Arenas': 1, 'Antonios Garas': 1, 'Kartik Anand': 1, 'Nathan Eagle': 1, 'Jean Jacod': 1, 'Cyrus Shahabi': 1, 'Jie Tang': 1, 'Michael Szell': 1, 'Brian Karrer': 1, 'John Paisley': 1, 'Andrea Lancichinetti': 1, 'Mikko Kivel?': 1, 'Renaud Lambiotte': 1, 'Alessio Cardillo': 1, 'Pip Pattison': 1, 'Simi Wang': 1, 'Jennifer Neville': 1, 'Rongjing Xiang': 1, 'Alexandre Vidmer': 1, 'Michael Molloy': 1, 'Nicolas Wider': 1, 'Huy Pham': 1, 'Tiancheng Lou': 1, 'Giulio Cimini': 1, 'Ingo Scholtes': 1, 'Business Media': 1, 'Aaron Schein': 1, 'Valerio Gemmetto': 1, 'Yan Zhang': 1, 'Garry Robins': 1, 'Eran Toch': 1}"
SIMON CASTELLAN,"{'David Hopkins': 1, 'Erik Palmgren': 1, 'Simon Castellan': 1, 'Peter Dybjer': 1, 'Dov Gabbay': 1}"
PIERRE CLAIRAMBAULT,"{'David Hopkins': 1, 'Erik Palmgren': 1, 'Simon Castellan': 1, 'Peter Dybjer': 1, 'Dov Gabbay': 1}"
SILVAIN RIDEAU,"{'David Hopkins': 1, 'Erik Palmgren': 1, 'Simon Castellan': 1, 'Peter Dybjer': 1, 'Dov Gabbay': 1}"
Rigetti Computing,"{'Ross Duncan': 1, 'Strong Complementarity': 1}"
Vargas Cardona,"{'RS Estepar': 1, 'BC Vemuri': 1, 'IS Chang': 1, 'JE Tanner': 1, 'PT Fletcher': 1, 'PJ Basser': 1, 'YM Zhu': 1, 'RP Adams': 1}"
Vincenza Carchiolo,"{'Omar Khan': 2, 'Santo Fortunato': 2, 'Gergely Palla': 2, 'Jure Leskovec': 2, 'JeanLoup Guillaume': 2, 'John Hopcroft': 2, 'Deepayan Chakrabarti': 2, 'Ravi Kumar': 2, 'Andrea Lancichinetti': 2, 'Thomas Richardson': 2, 'Sitaram Asur': 2, 'Srinivasan Parthasarathy': 2}"
EMMANUEL FILIOT,"{'Olivier Gauwin': 2, 'Andreas Krebs': 1, 'RS RightfB': 1, 'MP Beal': 1, 'Functionality Problem': 1, 'Realizability Problem': 1, 'Determinizability Problem': 1, 'Verification Problems': 1, 'Let AQ': 1, 'Schloss Dagstuhl': 1, 'Ismael Jecker': 2, 'Uniform Continuity': 1, 'Deciding Continuity': 1, 'In AFT': 1, 'Anca Muscholl': 1}"
OLIVIER GAUWIN,"{'Olivier Gauwin': 1, 'Andreas Krebs': 1, 'RS RightfB': 1}"
DE BOER,{'PH Chang': 1}
COSIMO LANEVE,{'PH Chang': 1}
VINCENZO CIANCIA,"{'Agi Kurucz': 1, 'Diego Latella': 1, 'Ian PrattHartmann': 1}"
DIEGO LATELLA,"{'Agi Kurucz': 1, 'Diego Latella': 1, 'Ian PrattHartmann': 1}"
MICHELE LORETI,"{'Agi Kurucz': 1, 'Diego Latella': 1, 'Ian PrattHartmann': 1}"
FULLYABSTRACT COMPILATION,"{'CK Hur': 1, 'Open Terms': 1, 'Linking If': 1, 'Future Work': 1, 'Related Work': 1, 'Related Issues': 1, 'Secure Software': 1}"
MARIUS BOZGA,"{'Symbolic Computation': 1, 'Octagonal Relations': 1, 'By Proposition': 1, 'Since PTInvq': 1, 'Since PTInv': 1, 'Preliminary Definitions': 1, 'Let Rx': 1, 'Si Zx': 1, 'By Lemma': 1, 'Proof Points': 1, 'Ecole Polytechnique': 1}"
RADU IOSIF,"{'Symbolic Computation': 1, 'Octagonal Relations': 1, 'By Proposition': 1, 'Since PTInvq': 1, 'Since PTInv': 1, 'Preliminary Definitions': 1, 'Let Rx': 1, 'Si Zx': 1, 'By Lemma': 1, 'Proof Points': 1, 'Ecole Polytechnique': 1}"
EL FIJALKOW,"{'Mehryar Mohri': 1, 'Laurent Doyen': 1, 'TA Henzinger': 1, 'AS Murawski': 1, 'HJ Hoover': 1, 'TM Ngo': 1, 'Hugo Gimbert': 1, 'Agnes Miermont': 1, 'Miheer Dewaskar': 1}"
HUGO GIMBERT,"{'Mehryar Mohri': 1, 'Laurent Doyen': 1}"
EDON KELMENDI,"{'Mehryar Mohri': 1, 'Laurent Doyen': 1}"
Vregalgebra Freg,{'Fritz Henglein': 1}
Ian McQuillanb,"{'TwoWay Machines': 1, 'TwoWay NCMs': 1, 'Future Directions': 1}"
ANUJ DAWAR,"{'JY Cai': 1, 'Mikael Goldmann': 1, 'MF Atiyah': 1, 'HD Ebbinghaus': 1}"
ERICH GR,"{'JY Cai': 1, 'Mikael Goldmann': 1, 'MF Atiyah': 1, 'HD Ebbinghaus': 2}"
BJARKI HOLM,"{'JY Cai': 1, 'Mikael Goldmann': 1, 'MF Atiyah': 1, 'HD Ebbinghaus': 1}"
ERYK KOPCZYNSKI,"{'JY Cai': 1, 'Mikael Goldmann': 1, 'MF Atiyah': 1, 'HD Ebbinghaus': 1}"
TZUCHUN CHEN,"{'Dimitris Mostrous': 2, 'Naoki Kobayashi': 2, 'Mariangiola DezaniCiancaglini': 2, 'Simon Gay': 2, 'Aybek Mukhamedov': 2, 'Dimitrios Kouzapas': 2, 'Jay Ligatti': 2, 'Peter Sewell': 2, 'PierreMalo Denielou': 2, 'Objects PhD': 2, 'Jeremy Blackburn': 2, 'Lasse Nielsen': 2, 'Barbara Liskov': 2, 'Nils Gesbert': 2, 'Related Work': 2, 'Franco Barbanera': 2, 'Raymond Hu': 2, 'Atsushi Igarashi': 2, 'JeanMarie Madiot': 2, 'Ornela Dardha': 2, 'Giovanni Bernardi': 2, 'Gerard Cece': 2, 'Marco Carbone': 2, 'Nicholas Ng': 2, 'If AL': 2, 'TzuChun Chen': 2, 'Silvia Ghilezan': 2, 'Henk Barendregt': 2, 'Robin Milner': 2, 'ENS Cachan': 2, 'Alain Frisch': 2, 'Radha Jagadeesan': 2, 'In Lemma': 2, 'Kohei Honda': 2, 'Romain Demangeon': 2, 'James Riely': 2}"
MARIANGIOLA DEZANICIANCAGLINI,"{'Dimitris Mostrous': 2, 'Naoki Kobayashi': 2, 'Mariangiola DezaniCiancaglini': 2, 'Simon Gay': 2, 'Aybek Mukhamedov': 2, 'Dimitrios Kouzapas': 2, 'Jay Ligatti': 2, 'Peter Sewell': 2, 'PierreMalo Denielou': 2, 'Objects PhD': 2, 'Jeremy Blackburn': 2, 'Lasse Nielsen': 2, 'Barbara Liskov': 2, 'Nils Gesbert': 2, 'Related Work': 2, 'Franco Barbanera': 2, 'Raymond Hu': 2, 'Atsushi Igarashi': 2, 'JeanMarie Madiot': 2, 'Ornela Dardha': 2, 'Giovanni Bernardi': 2, 'Gerard Cece': 2, 'Marco Carbone': 2, 'Nicholas Ng': 2, 'If AL': 2, 'TzuChun Chen': 2, 'Silvia Ghilezan': 2, 'Henk Barendregt': 2, 'Robin Milner': 2, 'ENS Cachan': 2, 'Alain Frisch': 2, 'Radha Jagadeesan': 2, 'In Lemma': 2, 'Kohei Honda': 2, 'Romain Demangeon': 2, 'James Riely': 2, 'Global Types': 1, 'MultiParty Sessions': 1}"
ALCESTE SCALAS,"{'Dimitris Mostrous': 2, 'Naoki Kobayashi': 2, 'Mariangiola DezaniCiancaglini': 2, 'Simon Gay': 2, 'Aybek Mukhamedov': 2, 'Dimitrios Kouzapas': 2, 'Jay Ligatti': 2, 'Peter Sewell': 2, 'PierreMalo Denielou': 2, 'Objects PhD': 2, 'Jeremy Blackburn': 2, 'Lasse Nielsen': 2, 'Barbara Liskov': 2, 'Nils Gesbert': 2, 'Related Work': 2, 'Franco Barbanera': 2, 'Raymond Hu': 2, 'Atsushi Igarashi': 2, 'JeanMarie Madiot': 2, 'Ornela Dardha': 2, 'Giovanni Bernardi': 2, 'Gerard Cece': 2, 'Marco Carbone': 2, 'Nicholas Ng': 2, 'If AL': 2, 'TzuChun Chen': 2, 'Silvia Ghilezan': 2, 'Henk Barendregt': 2, 'Robin Milner': 2, 'ENS Cachan': 2, 'Alain Frisch': 2, 'Radha Jagadeesan': 2, 'In Lemma': 2, 'Kohei Honda': 2, 'Romain Demangeon': 2, 'James Riely': 2}"
MICHAEL HOLTMANN,"{'Wladimir Fridman': 1, 'AlexisJulien Bouquet': 1, 'Wolfgang Thomas': 1, 'Dominique Perrin': 1, 'Sanjiva Prasad': 1, 'Schloss Dagstuhl': 1, 'Erich Gradel': 1, 'Olivier Serre': 1, 'Christof Loding': 1, 'Shimon Even': 1}"
LUKASZ KAISER,"{'Wladimir Fridman': 1, 'AlexisJulien Bouquet': 1, 'Wolfgang Thomas': 1, 'Dominique Perrin': 1, 'Sanjiva Prasad': 1, 'Schloss Dagstuhl': 1, 'Erich Gradel': 1, 'Olivier Serre': 1, 'Christof Loding': 1, 'Shimon Even': 1}"
DIEGO FIGUEIRA,"{'Mickael Randour': 1, 'Ahmed Bouajjani': 1, 'Beatrice Berard': 1, 'JF Raskin': 1, 'Krishnendu Chatterjee': 1, 'MH Lob': 1}"
ANIRBAN MAJUMDAR,"{'Mickael Randour': 1, 'Ahmed Bouajjani': 1, 'Beatrice Berard': 1, 'JF Raskin': 1, 'Krishnendu Chatterjee': 1, 'MH Lob': 1}"
OLIVIER CARTON,"{'MP Beal': 1, 'JY Cai': 1, 'JE Pin': 1}"
Guntis Barzdins,"{'Fillmore CJ': 1, 'Murray WR': 1, 'Chalmers Uni': 1, 'Baker CF': 1, 'Johnson CR': 1, 'Fuchs NE': 1}"
Linear Logic,"{'Alexander Rohr': 1, 'Klaus Keimel': 1, 'Thomas Ehrhard': 1, 'Linear Logic': 1, 'Chris Heunen': 1, 'Michele Pagani': 1, 'Sam Staton': 1, 'Hongseok Yang': 1, 'Shahin Amini': 1, 'Achim Jung': 1, 'Claire Jones': 1, 'Ohad Kammar': 1, 'Samson Abramsky': 1, 'Jean GoubaultLarrecq': 1, 'Michael Marz': 1, 'Olivier Laurent': 1, 'Christine Tasson': 1, 'Regina Tix': 1}"
Emmanuel Hebrard,"{'Marko Samer': 1, 'JG Fages': 1}"
KRISHNENDU CHATTERJEE,"{'Nicolas Markey': 1, 'Sum Next': 1, 'Paul Gastin': 1, 'Joachim Klein': 1, 'Sumautomaton For': 1, 'Michael Benedikt': 1, 'Rasmus IbsenJensen': 1, 'Krishnendu Chatterjee': 1, 'Laurent Doyen': 1, 'EA Emerson': 1, 'PJ Ramadge': 1, 'NPhard Thm': 1}"
Rennes Cedex,{'Algebraic Meth': 1}
MERLIN CARL,{'Sabrina Ouazzani': 1}
BENJAMIN RIN,{'Sabrina Ouazzani': 1}
JOHN FEARNLEY,"{'Deepak Dhar': 1, 'Spencer Gordon': 1, 'Bernd Gartner': 1, 'Lionel Levine': 1, 'Martin Gairing': 1, 'Benjamin Doerr': 1}"
MARTIN GAIRING,"{'Deepak Dhar': 1, 'Spencer Gordon': 1, 'Bernd Gartner': 1, 'Lionel Levine': 1, 'Martin Gairing': 1, 'Benjamin Doerr': 1}"
MATTHIAS MNICH,"{'Deepak Dhar': 1, 'Spencer Gordon': 1, 'Bernd Gartner': 1, 'Lionel Levine': 1, 'Martin Gairing': 1, 'Benjamin Doerr': 1}"
MIKKEL HANSEN,{ 'Radu Mardare': 1}
CRISTINA FEIER,{'Boris Motik': 1}
ANTTI KUUSISTO,{'Boris Motik': 1}
Index Terms,"{'NN Zheng': 1, 'HY Shum': 1, 'ACM Sigcomm': 1, 'RS Chang': 1, 'HY Lu': 1, 'HW Ferng': 1, 'WY Kao': 1, 'KS Kwak': 1, 'Wireless LANs': 1, 'JG Sun': 1, 'ZQ Luo': 1}"
Mathieu Cliche,{'Ray Choudhury': 1}
David Rosenberg,{'Ray Choudhury': 1}
Dhruv Madeka,{'Ray Choudhury': 1}
Connie Yee,{'Ray Choudhury': 1}
PIOTR HOFMAN,"{'Stefan Goller': 1, 'Faron Moller': 1, 'Stanislav Bohm': 1, 'Piotr Hofman': 1, 'Richard Mayr': 1, 'Diego Figueira': 1}"
LAWOMIR LASOTA,"{'Stefan Goller': 1, 'Faron Moller': 1, 'Stanislav Bohm': 1, 'Piotr Hofman': 1, 'Richard Mayr': 1}"
RICHARD MAYR,"{'Stefan Goller': 1, 'Faron Moller': 1, 'Stanislav Bohm': 1, 'Piotr Hofman': 1, 'Richard Mayr': 1}"
Alessio Caminata,"{'JeanCharles Faugere': 1, 'Alexander Klimov': 1, 'Jurgen Herzog': 1, 'Chengdong Tao': 1, 'Dieter Schmidt': 1, 'PostQuantum Cryptography': 1, 'Hong Xiang': 1, 'Magali Bardet': 1, 'BoYin Yang': 1, 'By CLO': 1, 'Giulia Bianco': 1, 'Marta Casanellas': 1, 'Marc Chardin': 1, 'Johannes Buchmann': 1, 'Nicolas Gama': 1, 'Adama Diene': 1, 'Elisa Gorla': 1, 'David Eisenbud': 1, 'Maike Massierer': 1, 'Adi Shamir': 1, 'John Little': 1, 'Michael Stillman': 1}"
Elisa Gorla,"{'JeanCharles Faugere': 1, 'Alexander Klimov': 1, 'Jurgen Herzog': 1, 'Chengdong Tao': 1, 'Dieter Schmidt': 1, 'PostQuantum Cryptography': 1, 'Hong Xiang': 1, 'Magali Bardet': 1, 'BoYin Yang': 1, 'By CLO': 1, 'Giulia Bianco': 1, 'Marta Casanellas': 1, 'Marc Chardin': 1, 'Johannes Buchmann': 1, 'Nicolas Gama': 1, 'Adama Diene': 1, 'Elisa Gorla': 1, 'David Eisenbud': 1, 'Maike Massierer': 1, 'Adi Shamir': 1, 'John Little': 1, 'Michael Stillman': 1}"
AT Vienna,"{'Using Lemma': 1, 'In Section': 1, 'Ashish Tiwari': 1, 'Kaye PALOpenLR': 1}"
JAVIER ESPARZA,"{'Blaise Genest': 1, 'Nikola Trcka': 1, 'Corina Bocaneala': 1, 'Andrei Kovalyov': 1, 'Christian Stahl': 1, 'Dietrich Kuske': 1, 'Javier Esparza': 1, 'Grzegorz Rozenberg': 1, 'Natalia Sidorova': 1, 'Dirk Fahland': 1, 'Jorg Desel': 1, 'Denis Kuperberg': 1, 'Cedric Favre': 1}"
DENIS KUPERBERG,"{'Blaise Genest': 1, 'Nikola Trcka': 1, 'Corina Bocaneala': 1, 'Andrei Kovalyov': 1, 'Christian Stahl': 1, 'Dietrich Kuske': 1, 'Javier Esparza': 1, 'Grzegorz Rozenberg': 1, 'Natalia Sidorova': 1, 'Dirk Fahland': 1, 'Jorg Desel': 1, 'Denis Kuperberg': 1, 'Cedric Favre': 1}"
ANCA MUSCHOLL,"{'Blaise Genest': 1, 'Nikola Trcka': 1, 'Corina Bocaneala': 1, 'Andrei Kovalyov': 1, 'Christian Stahl': 1, 'Dietrich Kuske': 1, 'Javier Esparza': 1, 'Grzegorz Rozenberg': 1, 'Natalia Sidorova': 1, 'Dirk Fahland': 1, 'Jorg Desel': 1, 'Denis Kuperberg': 1, 'Cedric Favre': 1, 'Nikhil Balaji': 1, 'Loris DAntoni': 1, 'Sylvain Lombardy': 1}"
GIULIO GUERRIERI,"{'MN MN': 1, 'By Lemmas': 1, 'Martin Odersky': 1, 'Using Lemmas': 1, 'By Lemma': 1, 'RAIRO Series': 1}"
LUCA PAOLINI,"{'MN MN': 1, 'By Lemmas': 1, 'Martin Odersky': 1, 'Using Lemmas': 1, 'By Lemma': 1, 'RAIRO Series': 1}"
SIMON DOCHERTY,"{'Separation Logic': 1, 'Multiplicative Extensions': 1, 'JR Courtault': 1, 'DMBICBI Algebra': 1, 'BBI Algebra': 1, 'Algebraic Soundness': 1, 'ILGL Algebra': 1, 'Relational Soundness': 1, 'Simon Docherty': 1, 'AR Anderson': 1, 'HH Dang': 1, 'Pyms BI': 1}"
CLEMENS KUPKE,"{'ECR Hehner': 1, 'JP Allouche': 1, 'MM Bonsangue': 1, 'RL Graham': 1, 'Linear Specifications': 1, 'Vrije Uni': 1, 'Radboud Univer': 1, 'Related Work': 1, 'Stream Calculus': 1, 'HH Hansen': 1, 'DE Knuth': 1, 'JJMM Rutten': 1, 'Contextfree Specifications': 1, 'Stream Automata': 1, 'JJ Jeannin': 1, 'Simple Specifications': 1, 'WJ Fokkink': 1}"
ENS ParisSaclay,"{'Markov Chains': 1, 'Jerome Feret': 1}"
Harvey Friedman,"{'Rene David': 1, 'Michele Pagani': 1, 'Gianfranco Mascari': 1, 'Antonio Bucciarelli': 1, 'Shahin Amini': 1, 'Thomas Ehrhard': 1, 'Linear Logic': 1, 'Giulio Guerrieri': 1, 'Willem Heijltjes': 1, 'Delia Kesner': 1}"
JouMing Chang,"{'CH Chen': 1, 'GH Chen': 1, 'RX Hao': 1, 'HJ Lai': 1, 'SF Kapoor': 1, 'JM Chang': 1, 'FT Boesch': 1, 'YH Ji': 1, 'JM Xu': 1, 'LH Hsu': 1, 'KJ Pai': 1, 'Since ANi': 1, 'Topological Structure': 1, 'JX Zhou': 1, 'SY Hsieh': 1, 'DP Day': 1, 'OR Oellermann': 1, 'SB Akers': 1}"
MOSES GANARDI,"{'SJ BisimGraphs': 1, 'Schloss Dagstuhl': 1}"
RANALD CLOUSTON,"{'Filip Sieczkowski': 2, 'Dag Prawitz': 2, 'PaulAndre Mellies': 2, 'Thorsten Altenkirch': 2, 'Stefan Milius': 2, 'Frank Pfenning': 2, 'Francois Pottier': 2, 'Concluding Remarks': 2, 'Rajeev Gore': 2, 'Jan Schwinghammer': 2, 'Related Work': 2, 'Rowan Davies': 2, 'Andrea Vezzosi': 2, 'Untyped Terms': 2, 'Sergei Tabachnikov': 2, 'Andreas Abel': 2, 'Ieke Moerdijk': 2, 'Robert Atkey': 2, 'Ranald Clouston': 2, 'Jorg Endrullis': 2, 'Lars Pareto': 2, 'Nick Benton': 2, 'Robbert Krebbers': 2, 'Nicolas Tabareau': 2, 'Lars Birkedal': 2, 'Clemens Grabmayer': 2, 'Tadeusz Litak': 2, 'Guilhem Jaber': 2, 'Dimitri Hendriks': 2, 'Wolfgang Jeltsch': 2, 'Kasper Svendsen': 2, 'Ralf Jung': 2, 'Cyril Cohen': 2, 'Patrick Bahr': 2, 'GUARDED LAMBDACALCULUS': 2, 'John Hughes': 2, 'Ross Paterson': 2, 'Thierry Coquand': 2}"
