author,h_index,total_citations,paper_count
Hortensia Galeana-S¨¢nchez,2,15,2
Sulamita Klein,2,13,2
Tetsuya Sato,2,21,2
Andreas Karrenbauer,2,15,2
Pascal Hitzler,2,44,2
Adrian Francalanza,2,17,3
Fran?ois Laroussinie,2,68,2
Seung Woo Shin,2,170,2
Andrea Cerone,2,31,2
Giuseppe Castagna,2,163,2
Vasco T. Vasconcelos,2,45,2
Adriana Balan,2,31,2
Ji?¨ª Velebil,2,31,2
Giuseppe Perelli,2,60,2
Paul Brunet,2,9,2
Mar¨ªa Luz Puertas,2,13,2
Anna Ing¨®lfsd¨®ttir,2,16,3
Dmytro Terletskyi,2,12,2
Robin Kaarsgaard,2,42,2
Shelby Kimmel,2,43,2
Bogdan S. Chlebus,2,47,2
Sergue? Lenglet,2,19,2
Piotr Polesiuk,2,19,2
B Srivathsan,2,10,2
Gabriel Dulac-Arnold,2,94,2
Alexander Weinert,2,20,2
T. A. Munandar,2,18,2
Ludovic Denoyer,2,94,2
Andrei Bulatov,2,18,2
Daisuke Kimura,2,10,2
Roberto Bruni,2,56,2
Wied Pakusa,2,32,2
Aart Middeldorp,2,15,3
Gordon D. Plotkin,2,74,2
Thomas Sauerwald,2,20,2
?t¨§p¨¢n Starosta,2,13,2
Rohit Chadha,2,47,2
Pawe? Rz??ewski,2,8,3
Dana Angluin,2,12,2
Viviana Bono,2,71,2
Hernan Melgratti,2,56,2
Dimiter Skordev,2,6,3
Rodrigo I. Silveira,2,17,2
Henning Kerstan,2,72,2
Andrej Dudenhefner,2,19,2
Martin Mundhenk,2,24,2
Oliver Friedmann,2,49,2
Jiamou Liu,2,24,3
Amar Ranjan Dash,2,49,2
Christian G?ttel,2,21,2
Niel de Beaudrap,2,11,2
Pascal Felber,2,21,2
Christoph Rauch,2,28,2
Weng Kin Ho,2,34,2
Simon Docherty,2,21,2
David Pym,2,21,2
Jakob Rehof,2,19,2
Rahul Savani,2,21,2
Thomas Seiller,2,15,2
Oleg Kudinov,2,9,2
Klaus Wehmuth,2,65,2
Artur Ziviani,2,65,2
T?naz Ekim,2,7,3
Ademir Hujdurovi?,2,16,2
Martin Milani?,2,16,2
James Chapman,2,178,2
Keiko Nakata,2,58,2
Csaba D. T¨®th,2,30,2
M. Usman Ali,2,62,2
Shahzad Ahmed,2,62,2
Javed Ferzund,2,62,2
Atif Mehmood,2,62,2
Abbas Rehman,2,62,2
Krzysztof Marasek,2,45,2
Eryk Kopczy¨½ski,2,6,2
Massimo Merro,2,26,2
Justin Yirka,2,27,2
Emilio Ferrara,2,198,2
Robert Ganian,2,82,2
Petr Hlin¨§ny,2,64,2
Jan Obdr?¨¢lek,2,64,2
Eryk Kopczynski,2,35,3
Robert A. Proctor,2,7,3
Matthew J. Willis,2,7,3
David Baelde,2,11,2
John Haslegrave,2,50,2
Ignacio F¨¢bregas,2,16,2
Victor Selivanov,2,27,2
Stefan Hetzl,2,10,2
Lara Pudwell,2,9,2
St¨¦phanie Delaune,2,15,2
Franco Barbanera,2,12,2
Romain Beauxis,2,12,2
Frank Piessens,2,58,2
Henryk Michalewski,2,28,2
Martin Koutecky,2,54,2
Daniel Gebler,2,41,2
Giovanni Bacci,2,15,2
Ali Dehghan,2,48,3
Mohammad-Reza Sadeghi,2,44,2
Arash Ahadi,2,48,3
Aleks Kissinger,2,148,2
Giovanni Bernardi,2,83,2
Bart D'Hooghe,2,43,2
Antti Kuusisto,2,39,2
Paul Blain Levy,2,7,2
Ahmed Mateen,2,26,3
Clemens Heuberger,2,8,2
Harald Zankl,2,26,2
Klaus Keimel,2,66,3
Mart¨ªn Soto,2,39,3
Evangelos Kranakis,2,63,2
Nicolas Trotignon,2,23,2
Pierpaolo Degano,2,64,2
Gian-Luigi Ferrari,2,64,2
Edita Pelantova,2,15,2
Emilio Tuosto,2,44,2
Thomas Streicher,2,9,3
Jiri Rosicky,2,43,2
Patrik Jansson,2,27,2
David Sabel,2,19,2
Hans Zantema,2,10,2
S¨¦bastien Labb¨¦,2,26,2
Danny Rorabaugh,2,10,3
Sylvain Salvati,2,41,2
Y H Sharath Kumar,2,41,2
H. M. de Oliveira,2,46,2
Marcello M. Bonsangue,2,73,2
Petr Gregor,2,26,2
Torsten M¨¹tze,2,27,2
Aaron Stump,2,10,2
Tom¨¢? Dvo?¨¢k,2,17,2
Alessandra Palmigiano,2,57,2
E. Nikulchev,2,60,2
Cyril Cohen,2,75,2
Brian Y. Sun,2,25,2
Vincent Vatter,2,26,2
Ignasi Sau,2,11,2
David Bevan,2,9,2
Prabath Chaminda Abeysiriwardana,2,18,2
J¨¦r¨¦mie Roland,2,24,2
Alessandro Abate,2,57,2
Paliath Narendran,2,4,2
Luiz Fernando Capretz,2,32,2
Sara Kropf,2,7,2
Marius Bozga,2,64,2
George Davie,2,19,2
Alessandro Cimatti,2,32,2
Kaifeng Zou,1,1,1
Frederic Cordier,1,1,1
Timo von Oertzen,1,80,1
Aya Sayed,1,80,1
Abdullah Alsalemi,1,80,1
Faycal Bensaali,1,80,1
Abbes Amira,1,80,1
Iraklis Varlamis,1,80,1
Magdalini Eirinaki,1,80,1
Christos Sardianos,1,80,1
George Dimitrakopoulos,1,80,1
Omar Fawzi,1,6,1
Hoang Ta,1,6,1
Massimo Fornasier,1,23,1
Timo Klock,1,23,1
Konstantin Riedl,1,23,1
Eric Culf,1,6,1
Karima Boudaoud,1,10,1
Marco Winckler,1,10,1
Ahmed Abdelmaksoud,1,10,1
Theodore James Thibault Heiser,1,4,1
Mari-Liis Allikivi,1,4,1
Meelis Kull,1,4,1
Nikolay Bazhenov,1,5,2
Vittorio Cipriani,1,4,1
Luca San Mauro,1,5,2
Helena Williams,1,6,1
Jo?o Pedrosa,1,6,1
Laura Cattani,1,6,1
Susanne Housmans,1,6,1
Tom Vercauteren,1,6,1
Jan Deprest,1,6,1
Yoshihiro Maruyama,1,2,1
Johannes Karder,1,3,1
Jan D'hooge,1,6,1
Klaus Schmid,1,3,1
Sascha El-Sharkawy,1,3,1
Christian Kr?her,1,3,1
Tamas Bisztray,1,18,1
Nils Gruschka,1,18,1
Xuan Tang,1,2,1
Zachary Ferguson,1,2,1
Teseo Schneider,1,2,1
Denis Zorin,1,2,1
Shoaib Kamil,1,2,1
Daniele Panozzo,1,2,1
Adrian Reuter,1,10,1
Christoph Gerum,1,1,1
Oliver Bringmann,1,1,1
Anastasia Moutafidou,1,1,1
Wadie Lemrazzeq,1,10,1
Kilian Ollivier,1,4,1
Pavlos Paraskevopoulos,1,3,1
Dimitrios Boursinos,1,3,1
Xenofon Koutsoukos,1,3,1
Ankur Shukla,1,32,1
Basel Katt,1,32,1
Livinus Obiora Nweke,1,32,1
Prosper Kandabongee Yeng,1,32,1
Goitom Kahsay Weldehawaryat,1,32,1
Maximilian Dreyer,1,12,1
Karsten M¨¹ller,1,12,1
Sebastian Lapuschkin,1,12,1
Markku Suomalainen,1,3,1
Katherine J. Mimnaugh,1,3,1
Ahmed El-Gazzar,1,19,1
Rajat Mani Thomas,1,19,1
Guido van Wingen,1,19,1
Anwesh Mohanty,1,1,1
Adrian Frischknecht,1,1,1
Marcin Wolski,1,2,1
Andrijana Todosijevic,1,2,1
Philipp Fleck,1,1,1
Manfred K¨¹gel,1,1,1
Giuseppe Desolda,1,10,1
Francesco Greco,1,10,1
Francisco Guarnieri,1,10,1
Vasileios Toulatzis,1,1,1
Ioannis Fudos,1,1,1
Mohamed Baioumy,1,8,1
Corrado Pezzato,1,8,1
Carlos Hernandez Corbato,1,8,1
Nick Hawes,1,8,1
Riccardo Ferrari,1,8,1
Daniel Becking,1,12,1
Attaullah Sahito,1,10,2
Eibe Frank,1,10,2
Bernhard Pfahringer,1,10,2
Linda Lastrico,1,6,1
Alessandro Carf¨¬,1,6,1
Francesco Rea,1,6,1
Alessandra Sciutti,1,6,1
Fulvio Mastrogiovanni,1,6,1
Israel Becerra,1,3,1
Eliezer Lozano,1,3,1
Rafael Murrieta-Cid,1,3,1
Steven M. LaValle,1,3,1
Bartosz Walter,1,2,1
Branko Marovic,1,2,1
Ivan Garnizov,1,2,1
Ayumi Igarashi,1,3,1
Ulrike Schmidt-Kraepelin,1,3,1
Robert Schwieger,1,3,2
Mat¨ªas R. Bender,1,1,1
Heike Siebert,1,1,1
Christian Haase,1,1,1
Denis Cousineau,1,5,1
Nicole Mariz,1,10,1
Massimo Zancanaro,1,11,2
Timo Freiesleben,1,57,1
Lesandro Ponciano,1,5,1
Erik Pitzer,1,1,1
Jan Zenisek,1,5,1
Josef Wolfartsberger,1,5,1
Norbert Wild,1,5,1
Adri¨¤ Casamitjana,1,14,1
Matteo Mancini,1,14,1
Juan Eugenio Iglesias,1,14,1
Janos Zsarg¨®,1,7,1
Betty Saridou,1,4,1
Gueltoum Bendiab,1,4,1
Stavros N. Shiaeles,1,4,1
Basil K. Papadopoulos,1,4,1
Edith Elkind,1,3,1
Piotr Faliszewski,1,3,1
Florian Bachinger,1,5,1
Bettina Fazzinga,1,19,1
Andrea Galassi,1,19,1
Paolo Torroni,1,19,1
Jurlind Budurushi,1,13,1
Ronald L. Rivest,1,13,1
Clovis Eberhart,1,5,2
Akihisa Yamada,1,2,2
Fuyuki Ishikawa,1,10,2
Henrique Ramos,1,5,1
Mateus Fonseca,1,5,1
Manat Mustafa,1,1,1
Sergei Ospichev,1,1,1
Carmina P¨¦rez-Guerrero,1,4,1
Adriana Palacios,1,4,1
Gilberto Ochoa-Ruiz,1,4,1
Christian Mata,1,4,1
Miguel Gonzalez-Mendoza,1,4,1
Luis Eduardo Falc¨®n-Morales,1,4,1
Eirini Vandorou,1,45,1
Celia Rosa Fierro-Santill¨¢n,1,7,1
Jaime Klapp,1,7,1
Anabel Arrieta,1,7,1
Lorena Arias,1,7,1
Jurij Mendoza Valencia,1,7,1
Leonardo Di G. Sigalotti,1,7,1
Valentin Garnero,1,4,1
Garrin Kimmell,1,7,1
Ruba El Haj Omar,1,7,1
Sodeif Ahadpour,1,22,1
Yaser Sadra,1,22,1
Cinzia Di Giusto,1,37,1
Jorge A Perez,1,37,1
Johannes Ebbing,1,7,1
Julian-Steffen M¨¹ller,1,7,1
Philippe Darondeau,1,14,1
Christophe Morvan,1,14,1
Am¨¦lie Gheerbrant,1,5,1
Marc Bezem,1,16,1
Lars Kuhtz,1,12,1
Peter Jonsson,1,80,1
Stefan Klikovits,1,1,1
Jens Seeber,1,4,1
Konstantinos Bougiatiotis,1,31,1
Carlos Rodriguez-Penagos,1,31,1
Marta Villegas,1,31,1
Hiromi Ishii,1,1,1
Nicolas Guidotti,1,1,1
Pedro Ceyrat,1,1,1
Jo?o Barreto,1,1,1
Jos¨¦ Monteiro,1,1,1
Rodrigo Rodrigues,1,1,1
Ricardo Fonseca,1,1,1
Xavier Martorell,1,1,1
Hanqiang Cao,1,225,1
Jonathan Aitken,1,12,1
Rob Alexander,1,12,1
James Law,1,12,1
Youri Coppens,1,3,1
Antonio J. Pe?a,1,1,1
Sarah E. Carter,1,2,1
Marco David,1,3,1
Abhik Pal,1,3,1
Benedikt Stock,1,3,1
Catherine Scott,1,15,1
Beate Diehl,1,15,1
Dylan Marinho,1,2,1
Jaco van de Pol,1,2,1
Ann Now¨¦,1,3,1
Boaz Barak,1,32,1
Kunal Marwaha,1,32,1
Inigo Incer,1,2,1
Albert Benveniste,1,2,1
Alberto Sangiovanni-Vincentelli,1,2,1
Ra¨²l Nozal,1,14,1
Jose Luis Bosque,1,14,1
Herman Goulet-Ouellet,1,2,1
Matthew Baas,1,6,1
Mario Gleirscher,1,12,1
Radu Calinescu,1,12,1
James Douthwaite,1,12,1
Benjamin Lesage,1,12,1
Colin Paterson,1,12,1
Nidhi Hegde,1,19,1
Laurent Massouli¨¦,1,19,1
Laurent Viennot,1,19,1
Dan Hernest,1,1,1
Trifon Trifonov,1,1,1
Neelamadhab Padhy,1,255,1
Dr. Pragnyaban Mishra,1,255,1
Rasmita Panigrahi,1,255,1
Luca Cardelli,1,31,1
Adrian Vetta,1,28,1
Eudes Petonnet,1,21,1
Ilya Tkachev,1,35,1
Saluka R Kodituwakku,1,12,1
Alceste Scalas,1,37,1
Denis Steckelmacher,1,3,1
Catholijn M. Jonker,1,3,1
Florio M. Ciaglia,1,2,1
Fabio Di Nocera,1,2,1
Vahagn Abgaryan,1,1,1
Arsen Khvedelidze,1,1,1
Ilya Rogojin,1,1,1
Chee Hung Koo,1,5,1
Stefan Rothbauer,1,5,1
Marian Vorderer,1,5,1
Kai Hoefig,1,5,1
Marc Zeller,1,5,1
Fabiola Moy¨®n,1,1,1
Daniel M¨¦ndez,1,1,1
Kristian Beckers,1,1,1
Sebastian Klepper,1,1,1
Alessandro Antonucci,1,2,1
Satabdi Barman,1,1,1
Claudio Bonesana,1,2,1
Giorgia Adorni,1,2,1
Danish Kashaev,1,6,1
Richard Santiago,1,6,1
Jana Lep?ov¨¢,1,7,1
Imad Kissami,1,4,1
Christophe Cerin,1,4,1
Fayssal Benkhaldoun,1,4,1
Gilles Scarella,1,4,1
Irina M. Sokolinskaya,1,4,1
Xintong Yang,1,13,1
Ze Ji,1,13,1
Jing Wu,1,13,1
Herman Kamper,1,6,1
Aysha Luis,1,4,1
Yu-Kun Lai,1,13,1
Shuichi Hirahara,1,14,1
Arthur J. Parzygnat,1,5,1
Lukas Stankevi?ius,1,2,1
Mantas Luko?evi?ius,1,2,1
Yimeng Zhao,1,3,1
Ahmed Saeed,1,3,1
Mostafa Ammar,1,3,1
Ellen Zegura,1,3,1
Simon Ro?kopf,1,8,1
Francesca Mangili,1,2,1
Omar Adjali,1,46,1
Romaric Besan?on,1,46,1
Olivier Ferret,1,46,1
Herve Le Borgne,1,46,1
Brigitte Grau,1,46,1
Ji?¨ª Ad¨¢mek,1,11,3
Lawrence S. Moss,1,1,1
Paolo Tell,1,1,1
Stephen MacDonell,1,5,2
Sherlock A. Licorish,1,1,1
Thomas Booth,1,4,1
Bernice Akpinar,1,4,1
Andrei Roman,1,4,1
Haris Shuaib,1,4,1
Alexis Perakis,1,32,1
Ali Gorji,1,32,1
Samriddhi Jain,1,32,1
Krishna Chaitanya,1,32,1
Simone Rizza,1,32,1
Nathan Grosshans,1,5,2
Alysha Chelliah,1,4,1
Ayisha Al Busaidi,1,4,1
Ayesha Mirchandani,1,4,1
Burcu Alparslan,1,4,1
Nina Mansoor,1,4,1
Keyoumars Ashkan,1,4,1
Sebastien Ourselin,1,4,1
Marc Modat,1,4,1
Marco Kuhrmann,1,4,1
Philipp Diebold,1,4,1
Joel Stadelmann,1,6,1
Sergey Kastryulin,1,6,1
Dmitry V. Dylov,1,6,1
Cyril Branciard,1,8,1
Marco Wallner,1,3,1
Kristian Fossum,1,4,1
Sergey Alyaev,1,4,1
Jan Tveranger,1,4,1
Ahmed Elsheikh,1,4,1
Neil P. Chue Hong,1,3,1
Jeremy Cohen,1,3,1
Caroline Jay,1,3,1
Thierry Paquet,1,21,1
Yuichi Komorida,1,2,1
Iena Petronella Derks,1,21,1
Alta de Waal,1,21,1
Kazuhiro Kurita,1,3,1
Kunihiro Wasa,1,3,1
Andrea Cavallo,1,1,1
Vasiliki Kouni,1,5,1
Holger Rauhut,1,5,1
Johannes C. Myburgh,1,25,1
Arthur E. W. Venter,1,3,1
Kai-Kristian Kemell,1,5,1
Ville Ravaska,1,5,1
Anh Nguyen-Duc,1,5,1
Aleksandr Belov,1,6,1
Elvin Isufi,1,1,1
Umair Qudus,1,5,1
Michael Roeder,1,5,1
Muhammad Saleem,1,5,1
Axel-Cyrille Ngonga Ngomo,1,5,1
Paul Christiano,1,1,1
Jacob Hilton,1,1,1
Daniel Steininger,1,3,1
Verena Widhalm,1,3,1
Matthias Sch?rghuber,1,3,1
Csaba Beleznai,1,3,1
Andrei Iantsen,1,56,1
Dimitris Visvikis,1,56,1
Mathieu Hatt,1,56,1
Denis Coquenet,1,21,1
Cl¨¦ment Chatelain,1,21,1
Henricus Bouwmeester,1,22,1
Andrew Dougherty,1,22,1
Andrew V. Knyazev,1,22,1
Andr¨¦ Hernich,1,11,1
Bastian Laubner,1,11,1
Shahkar Tramboo,1,40,1
Humma,1,40,1
S M Shafi,1,40,1
Sumeer Gul,1,40,1
Beno?t Delahaye,1,9,1
John C. Tipper,1,5,1
Nengxiong Xu,1,5,1
Prasun Ghosal,1,1,1
Arijit Chakraborty,1,1,1
Sabyasachee Banerjee,1,1,1
Mohammad Sabbaqi,1,1,1
Kentaro Inui,1,6,1
Finn Klessascheck,1,1,1
Stephan A. Fahrenkrog-Petersen,1,1,1
Jan Mendling,1,1,1
Luise Pufahl,1,1,1
Bj?rn Schembera,1,2,2
Frank W¨¹bbeling,1,2,2
Hendrik Kleikamp,1,2,2
Burkhard Schmidt,1,2,2
Victor Lecomte,1,1,1
Mark Xu,1,1,1
Sushant More,1,1,1
Priya Kotwal,1,1,1
Sujith Chappidi,1,1,1
Dinesh Mandalapu,1,1,1
Chris Khawand,1,1,1
Omar Kermia,1,2,1
Aurela Shehu,1,2,2
Marco Reidelbach,1,2,2
Christine Biedinger,1,2,2
Jochen Fiedler,1,2,2
Thomas Koprucki,1,2,2
Dorothea Iglezakis,1,2,2
Dominik G?ddeke,1,2,2
Melanie Dohmen,1,1,1
Tuan Truong,1,1,1
Ivo M. Baltruschat,1,1,1
Matthias Lenga,1,1,1
Hiroaki Funayama,1,6,1
Yuya Asazuma,1,6,1
Yuichiroh Matsubayashi,1,6,1
Tomoya Mizumoto,1,6,1
Simon Dima,1,1,1
Simon Fischer,1,1,1
Jobst Heitzig,1,1,1
Joss Oliver,1,1,1
Brandon Jaipersaud,1,3,1
Paul Zhang,1,3,1
Jimmy Ba,1,3,1
Andrew Petersen,1,3,1
Lisa Zhang,1,3,1
Michael R. Zhang,1,3,1
N. B. Melnikova,1,31,1
A. M. Chirkin,1,31,1
S. V. Ivanov,1,31,1
A. V. Boukhanovsky,1,31,1
P. M. A. Sloot,1,31,1
Rahul Jain,1,7,1
Luis Bargu?¨®,1,23,1
Carles Creus,1,23,1
Camille Vacher,1,23,1
Daniel Kral,1,28,1
Jan Obdrzalek,1,28,1
Jarett Schwartz,1,28,1
Jakub Teska,1,28,1
Paul Ralph,1,63,1
Stephane Le Roux,1,17,1
Andrzej Murawski,1,28,1
Bjoern Wachter,1,28,1
Radu Iosif,1,53,1
Filip Konecny,1,53,1
Seth J. Fogarty,1,33,1
V. V. Krzhizhanovskaya,1,31,1
Rastislav Lenhardt,1,10,1
Mariana de Azevedo Santos,1,11,1
Paulo Henrique de Souza Bermejo,1,11,1
Marcelo Silva de Oliveira,1,11,1
Adriano Ol¨ªmpio Tonelli,1,11,1
Enio J¨²nior Seidel,1,11,1
Fatiha Boubekeur,1,347,1
Wassila Azzoug,1,347,1
Kamal Sarkar,1,29,1
Robert W. J. Furber,1,58,1
Bart P. F. Jacobs,1,58,1
Abraham P. Punnen,1,20,1
Piyashat Sripratak,1,20,1
Julio-Mario Daza-Escorcia,1,1,1
David ¨¢lvarez Mart¨ªnez,1,1,1
Gunar Schirner,1,10,1
Roman Vygon,1,58,1
Yangde Wang,1,1,1
Haozhang Li,1,1,1
Weidong Qiu,1,1,1
Peng Tang,1,1,1
Markus Wei?flog,1,1,2
Peter Protzel,1,1,2
Peer Neubert,1,1,2
Antoine Legouhy,1,2,1
Ross Callaghan,1,2,1
Hojjat Azadbakht,1,2,1
Hui Zhang,1,2,1
Thomas Flinkow,1,4,1
Preugschat Sebastian,1,5,1
Wassim Bouachir,1,5,1
Riadh Ksantini,1,5,1
Barak A. Pearlmutter,1,4,1
Rosemary Monahan,1,5,2
Christopher Hahn,1,1,1
Jana Hofmann,1,1,1
Leander Tentrup,1,16,2
Piotr Bartman,1,1,1
Sylwester Arabas,1,1,1
Devshree Patel,1,16,1
Ratnam Parikh,1,16,1
Yesha Shastri,1,16,1
Mehrshad Zandigohar,1,10,1
Mo Han,1,10,1
Deniz Erdogmus,1,10,1
Michel Grabisch,1,5,1
Jo?o M. T. Romano,1,6,2
Nikolay Mikhaylovskiy,1,58,1
Sohail Ahmed Khan,1,21,1
Wasiq Khan,1,21,1
Abir Hussain,1,21,1
Ibai Aedo,1,4,1
Uwe Grimm,1,4,1
Yasushi Nagai,1,4,1
Petra Staynova,1,4,1
Yudhik Agrawal,1,23,1
Ramaguru Guru Ravi Shanker,1,23,1
Vinoo Alluri,1,23,1
Gaia Belardinelli,1,3,1
Rasmus K. Rendsvig,1,3,1
Ahmed Zgaren,1,5,1
Sophie Aubin,1,14,1
Robert Bossy,1,14,1
James D. Watson,1,14,1
Johannes Bausch,1,14,1
Fernando Mateo,1,1,1
Jordi Munoz-Mari,1,1,1
Valero Laparra,1,1,1
Jochem Verrelst,1,1,1
Gustau Camps-Valls,1,1,1
Chiara Plizzari,1,185,1
Marco Cannici,1,185,1
Matteo Matteucci,1,185,1
Elizaveta Kovalevskaya,1,2,1
Guilherme D. Pelegrina,1,6,2
Leonardo T. Duarte,1,6,2
Bencie Woll,1,17,1
Reda Al-batat,1,17,1
Tyron Woolfe,1,17,1
Anna Glazkova,1,6,1
Yury Egorov,1,6,1
Maksim Glazkov,1,6,1
Carles Sierra,1,2,2
J¨¦r¨¦my Scheurer,1,12,1
Yoshitomo Matsubara,1,23,1
Charles Moussa,1,3,1
Hao Wang,1,3,1
Henri Calandra,1,3,1
Thomas B?ck,1,3,1
Vedran Dunjko,1,3,1
Claire N¨¦dellec,1,14,1
Wiktoria Golik,1,14,1
Madhur Tulsiani,1,18,1
Stratis Limnios,1,3,1
Christophe Paul,1,3,1
Joanny Perret,1,3,1
Dimitrios M. Thilikos,1,3,1
Maria Iuliana Bocicor,1,1,1
Maria Dasc?lu,1,1,1
Agnieszka Gaczowska,1,1,1
Qingchao Zhang,1,9,1
Coy D. Heldermon,1,9,1
Corey Toler-Franklin,1,9,1
Xing Liang,1,17,1
Anastassia Angelopoulou,1,17,1
Epaminondas Kapetanios,1,17,1
Ken Chang,1,158,1
Praveer Singh,1,158,1
Nir Neumark,1,158,1
Wenqi Li,1,158,1
Vikash Gupta,1,158,1
Sharut Gupta,1,158,1
Liangqiong Qu,1,158,1
Alvin Ihsani,1,158,1
Bernardo C. Bizzo,1,158,1
Claudio Ferrari,1,12,1
Luis Berenguer Todo Bom,1,12,1
Michaela Beer,1,12,1
Werner Kempf,1,12,1
Luis Haug,1,12,1
Colin Compas,1,158,1
Jesse Tetreault,1,158,1
Prerna Dogra,1,158,1
Yan Cheng,1,158,1
Selnur Erdal,1,158,1
Richard White,1,158,1
Behrooz Hashemian,1,158,1
Thomas Schultz,1,158,1
Iuliana Marin,1,5,1
Sorin Hostiuc,1,1,1
Alin Moldoveanu,1,1,1
Antonio Molina,1,1,1
Ionu? Negoi,1,1,1
Vlad Racovi??,1,1,1
Koji Nakamichi,1,45,1
Kyoko Ohashi,1,45,1
Isao Namba,1,45,1
Rieko Yamamoto,1,45,1
Mikio Aoyama,1,45,1
Aniket Joshi,1,4,1
Gaurav Mishra,1,4,1
Jayanthi Sivaswamy,1,4,1
Yuhong Wen,1,158,1
Varun Buch,1,158,1
Meesam Shah,1,158,1
Felipe Kitamura,1,158,1
Matheus Mendon?a,1,158,1
Vitor Lavor,1,158,1
Ahmed Harouni,1,158,1
Dominik Leichtle,1,19,1
Atul Mantri,1,19,1
Andrew Conway,1,2,1
Piyush Yadav,1,5,1
Shamsuddin Ladha,1,5,1
Shailesh Deshpande,1,5,1
Edward Curry,1,5,1
Maria-Iuliana Bocicor,1,5,1
Alexandra Neam?u,1,8,1
Simona Motogna,1,8,1
J. L¨®pez-Gonz¨¢lez,1,1,1
Juan M. Serrano,1,1,1
Julien Siebert,1,45,1
Lisa Joeckel,1,45,1
Maksym Balatsko,1,11,1
Nicolay Rusnachenko,1,3,1
Natalia Loukachevitch,1,3,1
Timo M. Deist,1,6,1
Stefanus C. Maree,1,6,1
Tanja Alderliesten,1,6,1
Peter A. N. Bosman,1,6,1
Christian Badertscher,1,19,1
Maurizio Proietti,1,9,1
Anthony Bagnall,1,43,1
Michael Flynn,1,43,1
James Large,1,43,1
Jason Lines,1,43,1
Matthew Middlehurst,1,43,1
Nouraldin Jaber,1,20,1
Christopher Wagner,1,20,1
Roman Rodionov,1,10,1
Ali Alim-Marvasti,1,10,1
John S. Duncan,1,10,1
Nikolay Arefyev,1,5,1
Boris Sheludko,1,5,1
Tatiana Aleksashina,1,5,1
Muhammad Ammad-Ud-Din,1,61,1
Seph De Busser,1,8,1
Christoph Ostrau,1,7,1
Jonas Homburg,1,7,1
Christian Klarhorst,1,7,1
Michael Thies,1,7,1
Ulrich R¨¹ckert,1,7,1
Ilya Gusev,1,23,1
Frank Leymann,1,6,1
Johanna Barzen,1,6,1
Emanuele De Angelis,1,9,1
Fabio Fioravanti,1,9,1
Alberto Pettorossi,1,9,1
Dominik Kowald,1,3,1
Denis Helic,1,3,1
Elisabeth Lex,1,3,1
Georg Grasegger,1,4,1
Kaifeng Gao,1,55,1
Francesco Piccialli,1,55,1
Salvatore Cuomo,1,55,1
Milind Kulkarni,1,20,1
Roopsha Samanta,1,20,1
Adrian Flanagan,1,61,1
Were Oyomno,1,61,1
Alexander Grigorievskiy,1,61,1
Kuan Eeik Tan,1,61,1
Suleiman A. Khan,1,61,1
Mikolaj Wieczorek,1,14,1
Andrzej Michalowski,1,14,1
Anna Wroblewska,1,14,1
Jacek Dabrowski,1,14,1
Divyam Aggarwal,1,7,1
Xiaoxiao Long,1,60,1
Lingjie Liu,1,60,1
Christian Theobalt,1,60,1
Wenping Wang,1,60,1
Tomislav Duricic,1,3,1
Hussain Hussain,1,3,1
Emanuel Lacic,1,3,1
Jerzy Konorski,1,1,1
Karol Rydzewski,1,1,1
Dmitry Berdinsky,1,12,2
Prohrak Kruengthomya,1,1,1
Bernhard Gleiss,1,5,1
Laura Kovacs,1,5,1
Lena Schnedlitz,1,5,1
Kamil Khadiev,1,13,1
Jingzhi Tu,1,55,1
Zenan Huo,1,55,1
Simran Tinani,1,4,1
Joachim Rosenthal,1,4,1
Spyridon Papastergiou,1,14,1
Haralambos Mouratidis,1,14,1
Eleni-Maria Kalogeraki,1,14,1
Maria Mannone,1,9,1
Luca Turchet,1,9,1
Susana Ladra,1,1,1
Miguel R. Luaces,1,1,1
Jos¨¦ R. Param¨¢,1,1,1
Fernando Silva-Coira,1,1,1
S?nziana-Maria Sebe,1,2,1
J?rg P. M¨¹ller,1,2,1
Juraj Machaj,1,2,1
Peter Brida,1,2,1
Ondrej Krejcar,1,2,1
Dhish Kumar Saxena,1,7,1
Thomas Back,1,7,1
Michael Emmerich,1,7,1
Yasuhiro Takahashi,1,11,1
Juergen Gall,1,2,1
Johan Medrano,1,3,1
Fuchun Joseph Lin,1,3,1
M. Utkan Gezer,1,1,1
Clemens Kirisits,1,2,1
Eric Setterqvist,1,2,1
Otmar Scherzer,1,2,1
Camilo M. Signorelli,1,3,1
Xihui Chen,1,1,1
Ema K?puska,1,1,1
Artem Ilikaev,1,13,1
Lucas Assun??o,1,4,1
Andr¨¦a Cynthia Santos,1,4,1
Thiago F. Noronha,1,4,1
Rafael Andrade,1,4,1
Christian Roncal,1,39,1
Trisha Mittal,1,39,1
Rohan Chandra,1,39,1
Kyra Kapsaskis,1,39,1
Kurt Gray,1,39,1
Aniket Bera,1,39,1
Dinesh Manocha,1,39,1
Alex B. Grilo,1,53,1
Shih-Han Hung,1,53,1
Milica Petkovic,1,2,1
Quingjiang Shi,1,2,1
Pau Panareda Busto,1,2,1
Ezequiel de la Rosa,1,3,1
Koen Van Leemput,1,3,1
Diana M. Sima,1,3,1
Petra Kubern¨¢tov¨¢,1,4,1
Max van Duijn,1,4,1
Paola Bonizzoni,1,5,1
Clelia De Felice,1,5,1
