author,h_index,total_citations,paper_count
Bas Luttik,3,104,6
Christoph Molnar,3,291,3
Benjamin Werner,3,64,3
Adam K. Kochanski,3,69,3
Olivier Finkel,3,32,4
Grigore Rosu,3,168,3
Nikos Tzevelekos,3,64,3
Neil Immerman,3,274,4
Prahladh Harsha,3,43,4
Dirk Pattinson,3,162,4
John Fearnley,3,32,3
Balder ten Cate,3,96,3
Luca de Alfaro,3,62,3
Axel Legay,3,26,3
Ugo Montanari,3,88,4
Benedetto Intrigila,3,19,5
Wilmer Ricciotti,3,74,3
Peter LeFanu Lumsdaine,3,177,3
Stefano Berardi,3,76,3
Kousha Etessami,3,422,3
Seiichiro Tani,3,118,6
Rupak Majumdar,3,59,3
Paolo Baldan,3,115,3
Mohamed Faouzi Atig,3,132,4
Jeroen Zuiddam,3,25,3
Aniello Murano,3,154,3
Thomas Schwentick,3,179,4
Philippe Gaucher,3,43,4
Luca Q. Zamboni,3,99,4
Xin-She Yang,3,2143,3
Shigeru Yamashita,3,174,3
Wojciech Moczydlowski,3,24,3
Luca Aceto,3,74,5
Thibaut Horel,3,75,3
Zvonko Iljazovic,3,74,3
Lyneth Beltran,3,41,3
Yi-Kai Liu,3,45,3
Massimiliano Sassoli de Bianchi,3,41,3
Pawel Sobocinski,3,110,3
Glynn Winskel,3,97,4
Sam Staton,3,157,3
Ana Sokolova,3,227,3
Frank Stephan,3,147,4
Max A. Alekseyev,3,27,6
Antoine Meyer,3,68,3
Makoto Hamana,3,22,3
Christof L?ding,3,100,4
Yves Guiraud,3,42,3
Willem Conradie,3,156,5
Brijesh Dongol,3,27,3
Dariusz Biernacki,3,112,3
Sikiru Adewale,3,28,3
Prakash Panangaden,3,50,4
Tosin Ige,3,28,3
Giorgio Bacci,3,23,4
Jean Cardinal,3,44,4
Valerio Schiavoni,3,45,4
Noam Zeilberger,3,50,3
Niels van der Weide,3,32,3
Robin Piedeleu,3,12,3
Lijun Zhang,3,100,3
Flemming Nielson,3,60,4
J¨¦r?me Leroux,3,112,4
Warut Suksompong,3,90,5
Pierre Vandenhove,3,47,3
Dana Fisman,3,17,3
Thorsten Wi?mann,3,27,4
Amir M. Ben-Amram,3,82,4
Maurizio Murgia,3,24,4
Uli Fahrenberg,3,33,4
Georg Struth,3,24,3
Denis Kuperberg,3,43,4
Sabah Al-Fedaghi,3,26,7
Laurent Doyen,3,359,3
Octavio Malherbe,3,42,3
Tomoyuki Yamakami,3,42,4
Piotr Hofman,3,45,4
Erich Gr?del,3,35,3
Andrej Bauer,3,86,4
Wei Zeng,3,195,3
Karoliina Lehtinen,3,35,3
Alessandro De Luca,3,80,6
Pierre-Alain Reynier,3,46,5
Diego Latella,3,73,3
Mieke Massink,3,73,3
Martti Karvonen,3,40,3
Benjamin Monmege,3,42,4
S?awomir Lasota,3,199,5
Didem G?z¨¹pek,3,19,4
Borzoo Bonakdarpour,3,54,3
Jan Broekaert,3,71,3
Damjan Vukcevic,3,28,7
Samir Kumar Borgohain,3,46,3
Youssouf Oualhadj,3,50,3
Philipp Hieronymi,3,29,3
Tim A. C. Willemse,3,27,4
Mirko Viroli,3,52,3
Fredrik Nordvall Forsberg,3,33,3
Tatsuji Kawai,3,33,4
Anuj Dawar,3,41,4
Edita Pelantov¨¢,3,23,3
Cyril Banderier,3,55,3
Didier Lime,3,49,3
Mahesh Viswanathan,3,52,3
Jan Willem Klop,3,21,4
Kate?ina Medkov¨¢,3,23,3
Michael Shulman,3,93,4
Krzysztof Wo?k,3,96,3
August Thio-ac,3,108,3
Michael Blondin,3,49,3
Jessica Velasco,3,108,3
Wim Martens,3,66,3
Jonathan Grattage,3,69,3
Igor C. Oliveira,3,59,3
Colin Defant,3,52,4
Udi Boker,3,38,3
Elham Kashefi,3,162,3
Michael Kommenda,3,34,7
Howard Straubing,3,93,3
Iztok Peterin,3,14,3
Martin Krallinger,3,99,3
Antonio Bucciarelli,3,33,3
Georgios Paliouras,3,99,3
Andrew Polonsky,3,28,5
Peter Selinger,3,91,3
Furio Honsell,3,35,3
Micha? Skrzypczak,3,37,4
Jamie Vicary,3,88,4
Eric Goubault,3,111,3
Berit Gru?ien,3,17,3
